"Human"	"Mouse"	"value"
"207"	"connective.tissue.cell"	"dendritic.cell.1"	0.00381970970206264
"191"	"ionocyte"	"dendritic.cell"	0.00379506641366224
"244"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00377358490566038
"274"	"mucus.secreting.cell"	"capillary.endothelial.cell"	0.00371287128712871
"174"	"mucus.secreting.cell"	"T.cell"	0.00369913686806412
"156"	"plasma.cell"	"myelinating.Schwann.cell"	0.00368324125230203
"366"	"ciliated.cell"	"fibroblast.2"	0.0036117381489842
"109"	"endothelial.cell"	"glandular.epithelial.cell"	0.00356824264049955
"57"	"secretory.cell"	"macrophage"	0.00354609929078014
"189"	"endothelial.cell"	"dendritic.cell"	0.00349956255468067
"277"	"secretory.cell"	"capillary.endothelial.cell"	0.00343053173241852
"219"	"smooth.muscle.cell"	"dendritic.cell.1"	0.00338983050847458
"236"	"plasma.cell"	"myofibroblast.cell"	0.00338983050847458
"241"	"goblet.cell"	"endothelial.cell.of.artery"	0.00338218714768884
"282"	"b.cell"	"vein.endothelial.cell"	0.0033500837520938
"354"	"mucus.secreting.cell"	"fibroblast.1"	0.00327868852459016
"88"	"double.positive..alpha.beta.thymocyte"	"club.cell"	0.00327689787001638
"346"	"ciliated.cell"	"fibroblast.1"	0.0032377428307123
"197"	"secretory.cell"	"dendritic.cell"	0.00321543408360129
"201"	"goblet.cell"	"dendritic.cell.1"	0.00321027287319422
"29"	"endothelial.cell"	"fibroblast"	0.00317712470214456
"26"	"ciliated.cell"	"fibroblast"	0.00317604355716878
"21"	"goblet.cell"	"fibroblast"	0.00315457413249211
"84"	"cd4.positive..alpha.beta.t.cell"	"club.cell"	0.0031496062992126
"260"	"t.cell"	"endothelial.cell.of.artery"	0.00309119010819165
"198"	"serous.cell.of.epithelium.of.trachea"	"dendritic.cell"	0.00295420974889217
"160"	"t.cell"	"myelinating.Schwann.cell"	0.00289017341040462
"300"	"t.cell"	"vein.endothelial.cell"	0.0028735632183908
"157"	"secretory.cell"	"myelinating.Schwann.cell"	0.00280112044817927
"365"	"cd8.positive..alpha.beta.t.cell"	"fibroblast.2"	0.00276625172890733
"82"	"b.cell"	"club.cell"	0.00271739130434783
"220"	"t.cell"	"dendritic.cell.1"	0.00261096605744125
"41"	"goblet.cell"	"macrophage"	0.00259067357512953
"221"	"goblet.cell"	"myofibroblast.cell"	0.00255754475703325
"40"	"t.cell"	"fibroblast"	0.00253807106598985
"161"	"goblet.cell"	"T.cell"	0.00251889168765743
"356"	"plasma.cell"	"fibroblast.1"	0.00249376558603491
"85"	"cd8.positive..alpha.beta.t.cell"	"club.cell"	0.00248756218905473
"187"	"connective.tissue.cell"	"dendritic.cell"	0.00248756218905473
"80"	"t.cell"	"thyroid.follicular.cell"	0.00248447204968944
"378"	"serous.cell.of.epithelium.of.trachea"	"fibroblast.2"	0.00248447204968944
"104"	"cd4.positive..alpha.beta.t.cell"	"glandular.epithelial.cell"	0.00246913580246914
"380"	"t.cell"	"fibroblast.2"	0.00246305418719212
"106"	"ciliated.cell"	"glandular.epithelial.cell"	0.00241779497098646
"217"	"secretory.cell"	"dendritic.cell.1"	0.00240384615384615
"216"	"plasma.cell"	"dendritic.cell.1"	0.00231481481481481
