"Human"	"Mouse"	"value"
"239"	"mature.nk.t.cell"	"pericyte.cell"	0.0102564102564103
"300"	"skeletal.muscle.satellite.stem.cell"	"skeletal.muscle.fibroblast..fibroblast"	0.0101419878296146
"289"	"endothelial.cell.of.artery"	"skeletal.muscle.fibroblast..fibroblast"	0.0100143061516452
"136"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00985915492957747
"181"	"mast.cell"	"endothelial.cell.of.artery"	0.0098135426889107
"337"	"pericyte.cell"	"myelinating.Schwann.cell"	0.00977835723598435
"31"	"mesenchymal.stem.cell"	"macrophage"	0.00976800976800977
"93"	"smooth.muscle.cell"	"skeletal.muscle.satellite.cell"	0.00968783638320775
"192"	"cd4.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.00964630225080386
"165"	"mesothelial.cell"	"vein.endothelial.cell..endothelial.stalk.cell"	0.00957354221061793
"9"	"macrophage"	"striated.muscle.cell"	0.00955056179775281
"241"	"mesothelial.cell"	"pericyte.cell"	0.00952380952380952
"268"	"cd4.positive..alpha.beta.t.cell"	"stromal.cell"	0.00946372239747634
"84"	"fast.muscle.cell"	"skeletal.muscle.satellite.cell"	0.00940733772342427
"149"	"slow.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00939597315436242
"237"	"macrophage"	"pericyte.cell"	0.00937274693583273
"214"	"endothelial.cell.of.lymphatic.vessel"	"blood.vessel.endothelial.cell"	0.00929152148664344
"44"	"endothelial.cell.of.vascular.tree"	"monocyte.derived.dendritic.cell"	0.00904977375565611
"37"	"t.cell"	"macrophage"	0.00904522613065327
"203"	"mesothelial.cell"	"capillary.endothelial.cell"	0.00901639344262295
"24"	"endothelial.cell.of.lymphatic.vessel"	"macrophage"	0.00900900900900901
"15"	"skeletal.muscle.satellite.stem.cell"	"striated.muscle.cell"	0.00893582453290008
"325"	"cd4.positive..alpha.beta.t.cell"	"myelinating.Schwann.cell"	0.0087956698240866
"223"	"pericyte.cell"	"blood.vessel.endothelial.cell"	0.00868055555555556
"23"	"endothelial.cell.of.artery"	"macrophage"	0.00867888138862102
"280"	"pericyte.cell"	"stromal.cell"	0.00867052023121387
"224"	"skeletal.muscle.satellite.stem.cell"	"blood.vessel.endothelial.cell"	0.00865800865800866
"18"	"t.cell"	"striated.muscle.cell"	0.00859598853868195
"183"	"mesenchymal.stem.cell"	"endothelial.cell.of.artery"	0.00857142857142857
"40"	"cd4.positive..alpha.beta.t.cell"	"monocyte.derived.dendritic.cell"	0.00851063829787234
"187"	"slow.muscle.cell"	"endothelial.cell.of.artery"	0.00851063829787234
"62"	"endothelial.cell.of.lymphatic.vessel"	"T.helper.17.cell"	0.00842911877394636
"185"	"pericyte.cell"	"endothelial.cell.of.artery"	0.00841750841750842
"208"	"t.cell"	"capillary.endothelial.cell"	0.00831600831600832
"267"	"capillary.endothelial.cell"	"stromal.cell"	0.00829015544041451
"61"	"endothelial.cell.of.artery"	"T.helper.17.cell"	0.00819061801935964
"226"	"smooth.muscle.cell"	"blood.vessel.endothelial.cell"	0.00808897876643074
"251"	"endothelial.cell.of.artery"	"tendon.cell"	0.00808314087759815
"99"	"endothelial.cell.of.artery"	"CD8.positive..alpha.beta.T.cell"	0.00805523590333717
"115"	"capillary.endothelial.cell"	"B.cell"	0.0080091533180778
"32"	"mesothelial.cell"	"macrophage"	0.00796812749003984
"184"	"mesothelial.cell"	"endothelial.cell.of.artery"	0.0079295154185022
"50"	"mesenchymal.stem.cell"	"monocyte.derived.dendritic.cell"	0.00788643533123028
"3"	"cd8.positive..alpha.beta.t.cell"	"striated.muscle.cell"	0.00781928757602085
"155"	"cd8.positive..alpha.beta.t.cell"	"vein.endothelial.cell..endothelial.stalk.cell"	0.00773993808049536
"7"	"erythrocyte"	"striated.muscle.cell"	0.00769230769230769
