"Human"	"Mouse"	"value"
"469"	"club.cell"	"fibroblast"	0.0210526315789474
"452"	"smooth.muscle.cell"	"myofibroblast.cell"	0.0210368144252442
"24"	"neutrophil"	"ciliated.epithelial.cell"	0.0208825847123719
"510"	"endothelial.cell.of.lymphatic.vessel"	"fibroblast.1"	0.0204081632653061
"494"	"vein.endothelial.cell"	"fibroblast"	0.0201465201465201
"32"	"respiratory.mucous.cell"	"ciliated.epithelial.cell"	0.0198604401502952
"409"	"plasmacytoid.dendritic.cell"	"lymphocyte"	0.0197851893725269
"33"	"serous.cell.of.epithelium.of.bronchus"	"ciliated.epithelial.cell"	0.0195652173913043
"443"	"nk.cell"	"myofibroblast.cell"	0.019564002235886
"343"	"cd8.positive..alpha.beta.t.cell"	"non.classical.monocyte"	0.0195530726256983
"199"	"bronchial.vessel.endothelial.cell"	"B.cell"	0.0193236714975845
"167"	"endothelial.cell.of.artery"	"pericyte.cell"	0.0191570881226054
"398"	"intermediate.monocyte"	"lymphocyte"	0.0191176470588235
"433"	"endothelial.cell.of.artery"	"myofibroblast.cell"	0.0188261351052049
"68"	"pulmonary.ionocyte"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0183779464642429
"239"	"capillary.endothelial.cell"	"neutrophil"	0.018348623853211
"27"	"pericyte.cell"	"ciliated.epithelial.cell"	0.0183166157871784
"9"	"bronchial.vessel.endothelial.cell"	"ciliated.epithelial.cell"	0.0182341650671785
"428"	"capillary.aerocyte"	"myofibroblast.cell"	0.0182341650671785
"111"	"type.i.pneumocyte"	"pulmonary.artery.endothelial.cell"	0.0181680545041635
"394"	"dendritic.cell"	"lymphocyte"	0.0181518151815182
"435"	"fibroblast"	"myofibroblast.cell"	0.0178710178710179
"517"	"myofibroblast.cell"	"fibroblast.1"	0.0177514792899408
"448"	"pulmonary.ionocyte"	"myofibroblast.cell"	0.017749092375958
"282"	"endothelial.cell.of.lymphatic.vessel"	"alveolar.macrophage"	0.0174672489082969
"171"	"lung.ciliated.cell"	"pericyte.cell"	0.0174625801853172
"293"	"pericyte.cell"	"alveolar.macrophage"	0.0174216027874564
"478"	"mesothelial.cell"	"fibroblast"	0.0173333333333333
"7"	"basophil"	"ciliated.epithelial.cell"	0.0172126596335369
"37"	"vascular.associated.smooth.muscle.cell"	"ciliated.epithelial.cell"	0.0170212765957447
"230"	"cd4.positive..alpha.beta.t.cell"	"neutrophil"	0.0169712793733681
"300"	"smooth.muscle.cell"	"alveolar.macrophage"	0.0168831168831169
"472"	"endothelial.cell.of.lymphatic.vessel"	"fibroblast"	0.0168284789644013
"10"	"capillary.aerocyte"	"ciliated.epithelial.cell"	0.0166034155597723
"283"	"fibroblast"	"alveolar.macrophage"	0.0165408126573175
"243"	"endothelial.cell.of.artery"	"neutrophil"	0.0164271047227926
"136"	"mesothelial.cell"	"capillary.endothelial.cell"	0.0163170163170163
"277"	"capillary.endothelial.cell"	"alveolar.macrophage"	0.0162999185004075
"224"	"smooth.muscle.cell"	"B.cell"	0.0162721893491124
"371"	"plasmacytoid.dendritic.cell"	"non.classical.monocyte"	0.0161943319838057
"233"	"b.cell"	"neutrophil"	0.0161490683229814
"134"	"lung.microvascular.endothelial.cell"	"capillary.endothelial.cell"	0.0159325210871603
"65"	"pericyte.cell"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0158856235107228
"62"	"neutrophil"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0158835208471211
"404"	"neutrophil"	"lymphocyte"	0.0157706093189964
"106"	"pulmonary.ionocyte"	"pulmonary.artery.endothelial.cell"	0.0155378486055777
"502"	"bronchial.smooth.muscle.cell"	"fibroblast.1"	0.0154798761609907
"214"	"neutrophil"	"B.cell"	0.0153231179213857
"244"	"endothelial.cell.of.lymphatic.vessel"	"neutrophil"	0.0152851263962375
"276"	"capillary.aerocyte"	"alveolar.macrophage"	0.0152121697357886
"57"	"lung.ciliated.cell"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0151933701657459
"211"	"macrophage"	"B.cell"	0.0151898734177215
"60"	"mesothelial.cell"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0150812064965197
"54"	"endothelial.cell.of.lymphatic.vessel"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0150784077201448
"59"	"macrophage"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0149812734082397
"349"	"basophil"	"non.classical.monocyte"	0.0149501661129568
"172"	"lung.microvascular.endothelial.cell"	"pericyte.cell"	0.0148205928237129
"503"	"bronchial.vessel.endothelial.cell"	"fibroblast.1"	0.0147347740667976
"21"	"macrophage"	"ciliated.epithelial.cell"	0.0146579804560261
