"Human"	"Mouse"	"value"
"219"	"cd8.positive..alpha.beta.memory.t.cell"	"mature.NK.T.cell"	0.00958466453674121
"32"	"erythrocyte"	"macrophage"	0.00953389830508475
"143"	"regulatory.t.cell"	"monocyte"	0.00952380952380952
"87"	"naive.b.cell"	"T1.B.cell"	0.00947368421052632
"203"	"intermediate.monocyte"	"follicular.B.cell"	0.0094722598105548
"328"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"naive.thymus.derived.CD8.positive..alpha.beta.T.cell"	0.00934579439252336
"268"	"cd8.positive..alpha.beta.t.cell"	"activated.CD4.positive..alpha.beta.T.cell"	0.00919732441471572
"155"	"intermediate.monocyte"	"conventional.dendritic.cell"	0.00915032679738562
"274"	"innate.lymphoid.cell"	"activated.CD4.positive..alpha.beta.T.cell"	0.00910470409711684
"28"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.00909642207398423
"174"	"classical.monocyte"	"natural.killer.cell"	0.00904977375565611
"218"	"cd4.positive..alpha.beta.memory.t.cell"	"mature.NK.T.cell"	0.00903614457831325
"233"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"mature.NK.T.cell"	0.00896860986547085
"91"	"nk.cell"	"T1.B.cell"	0.00884955752212389
"25"	"cd1c.positive.myeloid.dendritic.cell"	"macrophage"	0.00879120879120879
"171"	"cd8.positive..alpha.beta.memory.t.cell"	"natural.killer.cell"	0.00862068965517241
"16"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"epithelial.cell"	0.00857959961868446
"13"	"mature.nk.t.cell"	"epithelial.cell"	0.00851788756388416
"177"	"hematopoietic.stem.cell"	"natural.killer.cell"	0.00838222967309304
"216"	"type.i.nk.t.cell"	"follicular.B.cell"	0.00835654596100279
"23"	"regulatory.t.cell"	"epithelial.cell"	0.00826446280991736
"34"	"innate.lymphoid.cell"	"macrophage"	0.00808625336927224
"193"	"cd1c.positive.myeloid.dendritic.cell"	"follicular.B.cell"	0.00801603206412826
"217"	"cd1c.positive.myeloid.dendritic.cell"	"mature.NK.T.cell"	0.00794912559618442
"148"	"cd8.positive..alpha.beta.t.cell"	"conventional.dendritic.cell"	0.00790513833992095
"95"	"regulatory.t.cell"	"T1.B.cell"	0.00786516853932584
"62"	"memory.b.cell"	"plasmacytoid.dendritic.cell"	0.00785340314136126
