"Spleen"	"Bone marrow"	"value"
"81"	"hematopoietic.stem.cell"	"erythrocyte"	0.0106458481192335
"165"	"plasmacytoid.dendritic.cell"	"hematopoietic.stem.cell"	0.0105726872246696
"277"	"mature.nk.t.cell"	"naive.b.cell"	0.0105401844532279
"268"	"cd8.positive..alpha.beta.t.cell"	"naive.b.cell"	0.0103785103785104
"26"	"cd4.positive..alpha.beta.memory.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0100250626566416
"322"	"innate.lymphoid.cell"	"neutrophil"	0.00982615268329554
"281"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"naive.b.cell"	0.00974930362116992
"132"	"macrophage"	"granulocyte"	0.00949667616334283
"31"	"endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00934215648112106
"375"	"naive.b.cell"	"plasma.cell"	0.00897666068222621
"34"	"innate.lymphoid.cell"	"cd8.positive..alpha.beta.t.cell"	0.0089086859688196
"357"	"plasmacytoid.dendritic.cell"	"nk.cell"	0.00880162491536899
"199"	"endothelial.cell"	"memory.b.cell"	0.00863842040312628
"238"	"platelet"	"monocyte"	0.00841346153846154
"293"	"cd141.positive.myeloid.dendritic.cell"	"nampt.neutrophil"	0.00837209302325581
"245"	"cd141.positive.myeloid.dendritic.cell"	"myeloid.progenitor"	0.00826446280991736
"128"	"erythrocyte"	"granulocyte"	0.00813008130081301
"339"	"cd8.positive..alpha.beta.memory.t.cell"	"nk.cell"	0.00809248554913295
"78"	"classical.monocyte"	"erythrocyte"	0.00792751981879955
"93"	"plasmacytoid.dendritic.cell"	"erythrocyte"	0.00762066045723963
"374"	"memory.b.cell"	"plasma.cell"	0.00737100737100737
"82"	"innate.lymphoid.cell"	"erythrocyte"	0.00736648250460405
"365"	"cd141.positive.myeloid.dendritic.cell"	"plasma.cell"	0.00720720720720721
"255"	"naive.b.cell"	"myeloid.progenitor"	0.00720164609053498
"87"	"naive.b.cell"	"erythrocyte"	0.00714285714285714
"325"	"mature.nk.t.cell"	"neutrophil"	0.00712105798575788
"4"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.00708103855232101
"273"	"hematopoietic.stem.cell"	"naive.b.cell"	0.00697836706210747
"316"	"cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.00697050938337802
"160"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"hematopoietic.stem.cell"	0.00695652173913044
"163"	"nk.cell"	"hematopoietic.stem.cell"	0.00694444444444444
"90"	"neutrophil"	"erythrocyte"	0.0069052102950408
"211"	"nk.cell"	"memory.b.cell"	0.00689655172413793
"335"	"regulatory.t.cell"	"neutrophil"	0.00686947988223749
"167"	"regulatory.t.cell"	"hematopoietic.stem.cell"	0.00679347826086957
"36"	"macrophage"	"cd8.positive..alpha.beta.t.cell"	0.00667302192564347
"225"	"hematopoietic.stem.cell"	"monocyte"	0.00660377358490566
"101"	"cd141.positive.myeloid.dendritic.cell"	"erythroid.progenitor"	0.00654205607476636
"214"	"platelet"	"memory.b.cell"	0.00648967551622419
"309"	"plasmacytoid.dendritic.cell"	"nampt.neutrophil"	0.00632911392405063
"333"	"plasmacytoid.dendritic.cell"	"neutrophil"	0.00632466619817287
"372"	"macrophage"	"plasma.cell"	0.00628930817610063
"159"	"naive.b.cell"	"hematopoietic.stem.cell"	0.006265664160401
