"Skeletal muscle"	"Trachea"	"value"
"366"	"endothelial.cell.of.lymphatic.vessel"	"t.cell"	0.00140056022408964
"349"	"erythrocyte"	"smooth.muscle.cell"	0.00138312586445367
"90"	"pericyte.cell"	"cd8.positive..alpha.beta.t.cell"	0.00134408602150538
"174"	"cd8.positive..alpha.beta.t.cell"	"fibroblast"	0.00120918984280532
"88"	"mesenchymal.stem.cell"	"cd8.positive..alpha.beta.t.cell"	0.00117508813160987
"95"	"tendon.cell"	"cd8.positive..alpha.beta.t.cell"	0.00114810562571757
"344"	"cd4.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.00114678899082569
"189"	"t.cell"	"fibroblast"	0.000930232558139535
"370"	"macrophage"	"t.cell"	0.000909918107370337
"154"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell"	0.000809061488673139
"377"	"slow.muscle.cell"	"t.cell"	0.000800640512409928
"116"	"cd4.positive..alpha.beta.t.cell"	"connective.tissue.cell"	0.000770416024653313
"155"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell"	0.00075187969924812
"2"	"cd4.positive..alpha.beta.t.cell"	"goblet.cell"	0
"76"	"tendon.cell"	"cd4.positive..alpha.beta.t.cell"	0
