"Lung"	"Bone marrow"	"value"
"513"	"lung.ciliated.cell"	"neutrophil"	0.018905080740449
"258"	"pulmonary.ionocyte"	"hematopoietic.stem.cell"	0.0188679245283019
"405"	"nk.cell"	"myeloid.progenitor"	0.0187140115163148
"141"	"pericyte.cell"	"erythrocyte"	0.018664752333094
"569"	"vascular.associated.smooth.muscle.cell"	"nk.cell"	0.0185799601857996
"416"	"type.ii.pneumocyte"	"myeloid.progenitor"	0.0185528756957328
"208"	"intermediate.monocyte"	"granulocyte"	0.0185185185185185
"509"	"endothelial.cell.of.artery"	"neutrophil"	0.0184049079754601
"395"	"endothelial.cell.of.artery"	"myeloid.progenitor"	0.0183792815371763
"599"	"plasmacytoid.dendritic.cell"	"plasma.cell"	0.0183276059564719
"133"	"lung.ciliated.cell"	"erythrocyte"	0.0182370820668693
"138"	"neutrophil"	"erythrocyte"	0.0182370820668693
"380"	"vein.endothelial.cell"	"monocyte"	0.018018018018018
"520"	"non.classical.monocyte"	"neutrophil"	0.0179856115107914
"225"	"type.i.pneumocyte"	"granulocyte"	0.0179547228727557
"444"	"non.classical.monocyte"	"naive.b.cell"	0.0179171332586786
"199"	"bronchial.vessel.endothelial.cell"	"granulocyte"	0.0178748758689176
"90"	"dendritic.cell"	"cd24.neutrophil"	0.0177083333333333
"251"	"myofibroblast.cell"	"hematopoietic.stem.cell"	0.0176344086021505
"160"	"bronchial.smooth.muscle.cell"	"erythroid.progenitor"	0.0175566934893928
"429"	"capillary.endothelial.cell"	"naive.b.cell"	0.0174418604651163
"155"	"adventitial.cell"	"erythroid.progenitor"	0.0173638516179953
"65"	"pericyte.cell"	"cd8.positive..alpha.beta.t.cell"	0.0173553719008264
"189"	"vascular.associated.smooth.muscle.cell"	"erythroid.progenitor"	0.0173130193905817
"109"	"serous.cell.of.epithelium.of.bronchus"	"cd24.neutrophil"	0.0172413793103448
"95"	"lung.ciliated.cell"	"cd24.neutrophil"	0.0170407315045719
"84"	"bronchial.smooth.muscle.cell"	"cd24.neutrophil"	0.0169628432956381
"471"	"endothelial.cell.of.artery"	"nampt.neutrophil"	0.0168582375478927
"393"	"club.cell"	"myeloid.progenitor"	0.0168243953732913
"45"	"basophil"	"cd8.positive..alpha.beta.t.cell"	0.0167597765363128
"219"	"plasmacytoid.dendritic.cell"	"granulocyte"	0.0167567567567568
"472"	"endothelial.cell.of.lymphatic.vessel"	"nampt.neutrophil"	0.0167487684729064
"357"	"endothelial.cell.of.artery"	"monocyte"	0.0167364016736402
"501"	"basophil"	"neutrophil"	0.0166812993854258
"148"	"smooth.muscle.cell"	"erythrocyte"	0.0166666666666667
"48"	"capillary.aerocyte"	"cd8.positive..alpha.beta.t.cell"	0.0166340508806262
"504"	"capillary.aerocyte"	"neutrophil"	0.0166089965397924
"473"	"fibroblast"	"nampt.neutrophil"	0.01645399597045
"426"	"bronchial.smooth.muscle.cell"	"naive.b.cell"	0.0164217804667243
"301"	"type.i.pneumocyte"	"macrophage"	0.0162122328666175
"112"	"type.ii.pneumocyte"	"cd24.neutrophil"	0.0161904761904762
"185"	"serous.cell.of.epithelium.of.bronchus"	"erythroid.progenitor"	0.0161702127659574
"566"	"smooth.muscle.cell"	"nk.cell"	0.0161469933184855
"295"	"plasmacytoid.dendritic.cell"	"macrophage"	0.0161038961038961
"517"	"myofibroblast.cell"	"neutrophil"	0.01609812188578
"386"	"basal.cell"	"myeloid.progenitor"	0.0160804020100503
"540"	"bronchial.smooth.muscle.cell"	"nk.cell"	0.0160390516039052
"129"	"endothelial.cell.of.artery"	"erythrocyte"	0.0159027128157156
"437"	"lung.ciliated.cell"	"naive.b.cell"	0.0159003008165019
"485"	"plasmacytoid.dendritic.cell"	"nampt.neutrophil"	0.015880017644464
"234"	"basal.cell"	"hematopoietic.stem.cell"	0.0158150851581509
"216"	"non.classical.monocyte"	"granulocyte"	0.0157593123209169
"346"	"alveolar.fibroblast"	"monocyte"	0.0156918687589158
"356"	"dendritic.cell"	"monocyte"	0.0156862745098039
"446"	"plasma.cell"	"naive.b.cell"	0.0156494522691706
"223"	"serous.cell.of.epithelium.of.bronchus"	"granulocyte"	0.015645371577575
"151"	"vascular.associated.smooth.muscle.cell"	"erythrocyte"	0.015625
"546"	"dendritic.cell"	"nk.cell"	0.0155574762316335
"281"	"endothelial.cell.of.artery"	"macrophage"	0.0155440414507772
"191"	"cd8.positive..alpha.beta.t.cell"	"granulocyte"	0.0154577883472057
"241"	"club.cell"	"hematopoietic.stem.cell"	0.0154043645699615
"477"	"macrophage"	"nampt.neutrophil"	0.0153061224489796
"67"	"plasmacytoid.dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.0151679306608884
"402"	"mesothelial.cell"	"myeloid.progenitor"	0.0150309460654288
"13"	"club.cell"	"cd4.positive..alpha.beta.t.cell"	0.0148619957537155
"237"	"bronchial.vessel.endothelial.cell"	"hematopoietic.stem.cell"	0.0148342059336824
"567"	"type.i.pneumocyte"	"nk.cell"	0.0147811256395679
"53"	"endothelial.cell.of.artery"	"cd8.positive..alpha.beta.t.cell"	0.0146892655367232
"436"	"intermediate.monocyte"	"naive.b.cell"	0.0146443514644351
"325"	"macrophage"	"memory.b.cell"	0.0146341463414634
"439"	"macrophage"	"naive.b.cell"	0.0146137787056367
"276"	"capillary.aerocyte"	"macrophage"	0.0144796380090498
"530"	"type.ii.pneumocyte"	"neutrophil"	0.0142857142857143
"183"	"respiratory.goblet.cell"	"erythroid.progenitor"	0.0141843971631206
"220"	"pulmonary.ionocyte"	"granulocyte"	0.014152850788516
"296"	"pulmonary.ionocyte"	"macrophage"	0.0141342756183746
"491"	"type.i.pneumocyte"	"nampt.neutrophil"	0.0141010575793184
"425"	"basophil"	"naive.b.cell"	0.0140997830802603
"49"	"capillary.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.0139442231075697
"428"	"capillary.aerocyte"	"naive.b.cell"	0.0138323840520749
"152"	"vein.endothelial.cell"	"erythrocyte"	0.0137844611528822
"158"	"basal.cell"	"erythroid.progenitor"	0.0136736554238833
"140"	"non.classical.monocyte"	"erythrocyte"	0.0136674259681093
"150"	"type.ii.pneumocyte"	"erythrocyte"	0.0136554621848739
"383"	"adventitial.cell"	"myeloid.progenitor"	0.0136518771331058
"470"	"dendritic.cell"	"nampt.neutrophil"	0.0136239782016349
"412"	"respiratory.mucous.cell"	"myeloid.progenitor"	0.0136116152450091
"508"	"dendritic.cell"	"neutrophil"	0.0136116152450091
"419"	"cd8.positive..alpha.beta.t.cell"	"naive.b.cell"	0.0134615384615385
"454"	"type.ii.pneumocyte"	"naive.b.cell"	0.0133882595262616
"369"	"pericyte.cell"	"monocyte"	0.0133587786259542
"427"	"bronchial.vessel.endothelial.cell"	"naive.b.cell"	0.0132340777502068
"400"	"lung.microvascular.endothelial.cell"	"myeloid.progenitor"	0.0131578947368421
"486"	"pulmonary.ionocyte"	"nampt.neutrophil"	0.0131396957123098
"126"	"classical.monocyte"	"erythrocyte"	0.0131291028446389
"551"	"lung.ciliated.cell"	"nk.cell"	0.0130218307162007
"136"	"mesothelial.cell"	"erythrocyte"	0.0129740518962076
"418"	"vein.endothelial.cell"	"myeloid.progenitor"	0.0129032258064516
"179"	"pericyte.cell"	"erythroid.progenitor"	0.0128676470588235
"481"	"nk.cell"	"nampt.neutrophil"	0.0127099409895597
"495"	"cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.0126883425852498
"123"	"bronchial.vessel.endothelial.cell"	"erythrocyte"	0.0125944584382872
"492"	"type.ii.pneumocyte"	"nampt.neutrophil"	0.0125944584382872
"35"	"type.i.pneumocyte"	"cd4.positive..alpha.beta.t.cell"	0.0125560538116592
"184"	"respiratory.mucous.cell"	"erythroid.progenitor"	0.0124688279301746
"198"	"bronchial.smooth.muscle.cell"	"granulocyte"	0.012448132780083
"242"	"dendritic.cell"	"hematopoietic.stem.cell"	0.0121654501216545
"261"	"serous.cell.of.epithelium.of.bronchus"	"hematopoietic.stem.cell"	0.0121412803532009
"127"	"club.cell"	"erythrocyte"	0.0121359223300971
"553"	"macrophage"	"nk.cell"	0.0121163166397415
"453"	"type.i.pneumocyte"	"naive.b.cell"	0.0121130551816958
"311"	"basophil"	"memory.b.cell"	0.0120689655172414
"59"	"macrophage"	"cd8.positive..alpha.beta.t.cell"	0.0119047619047619
"162"	"capillary.aerocyte"	"erythroid.progenitor"	0.0117728531855956
"54"	"endothelial.cell.of.lymphatic.vessel"	"cd8.positive..alpha.beta.t.cell"	0.0117574257425743
"269"	"adventitial.cell"	"macrophage"	0.011727078891258
"14"	"dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.0116959064327485
"493"	"vascular.associated.smooth.muscle.cell"	"nampt.neutrophil"	0.0116518163125428
"6"	"basal.cell"	"cd4.positive..alpha.beta.t.cell"	0.0116279069767442
"10"	"capillary.aerocyte"	"cd4.positive..alpha.beta.t.cell"	0.0116144018583043
"226"	"type.ii.pneumocyte"	"granulocyte"	0.0116129032258065
"85"	"bronchial.vessel.endothelial.cell"	"cd24.neutrophil"	0.0116009280742459
"147"	"serous.cell.of.epithelium.of.bronchus"	"erythrocyte"	0.0115911485774499
"502"	"bronchial.smooth.muscle.cell"	"neutrophil"	0.0115690527838033
"77"	"cd8.positive..alpha.beta.t.cell"	"cd24.neutrophil"	0.0115658362989324
"167"	"endothelial.cell.of.artery"	"erythroid.progenitor"	0.0114942528735632
"61"	"myofibroblast.cell"	"cd8.positive..alpha.beta.t.cell"	0.011384335154827
"4"	"alveolar.fibroblast"	"cd4.positive..alpha.beta.t.cell"	0.0113475177304965
"96"	"lung.microvascular.endothelial.cell"	"cd24.neutrophil"	0.0113250283125708
"55"	"fibroblast"	"cd8.positive..alpha.beta.t.cell"	0.0112884390813546
"259"	"respiratory.goblet.cell"	"hematopoietic.stem.cell"	0.0111731843575419
"413"	"serous.cell.of.epithelium.of.bronchus"	"myeloid.progenitor"	0.0111008325624422
"536"	"alveolar.fibroblast"	"nk.cell"	0.0110782865583456
"515"	"macrophage"	"neutrophil"	0.0109983079526227
"156"	"alveolar.fibroblast"	"erythroid.progenitor"	0.0108611326609775
"7"	"basophil"	"cd4.positive..alpha.beta.t.cell"	0.0108303249097473
"460"	"alveolar.fibroblast"	"nampt.neutrophil"	0.0108024691358025
"526"	"respiratory.mucous.cell"	"neutrophil"	0.010717230008244
"135"	"macrophage"	"erythrocyte"	0.0106044538706257
"110"	"smooth.muscle.cell"	"cd24.neutrophil"	0.0105590062111801
"227"	"vascular.associated.smooth.muscle.cell"	"granulocyte"	0.0105465004793864
"117"	"adventitial.cell"	"erythrocyte"	0.010536398467433
"339"	"type.i.pneumocyte"	"memory.b.cell"	0.0104895104895105
"455"	"vascular.associated.smooth.muscle.cell"	"naive.b.cell"	0.0104754230459307
"107"	"respiratory.goblet.cell"	"cd24.neutrophil"	0.0104651162790698
"213"	"myofibroblast.cell"	"granulocyte"	0.0104308390022676
"165"	"club.cell"	"erythroid.progenitor"	0.010406811731315
"313"	"bronchial.vessel.endothelial.cell"	"memory.b.cell"	0.01036866359447
"78"	"cd4.positive..alpha.beta.t.cell"	"cd24.neutrophil"	0.0103412616339193
"286"	"lung.microvascular.endothelial.cell"	"macrophage"	0.0103244837758112
"52"	"dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.0102941176470588
"531"	"vascular.associated.smooth.muscle.cell"	"neutrophil"	0.0102599179206566
"262"	"smooth.muscle.cell"	"hematopoietic.stem.cell"	0.0102249488752556
"207"	"fibroblast"	"granulocyte"	0.0100814269096549
"332"	"plasma.cell"	"memory.b.cell"	0.0100671140939597
"323"	"lung.ciliated.cell"	"memory.b.cell"	0.0100200400801603
"166"	"dendritic.cell"	"erythroid.progenitor"	0.0100182149362477
"503"	"bronchial.vessel.endothelial.cell"	"neutrophil"	0.0097629009762901
"475"	"lung.ciliated.cell"	"nampt.neutrophil"	0.00976181179226865
"115"	"cd8.positive..alpha.beta.t.cell"	"erythrocyte"	0.00975609756097561
"68"	"pulmonary.ionocyte"	"cd8.positive..alpha.beta.t.cell"	0.00968914008881712
"190"	"vein.endothelial.cell"	"erythroid.progenitor"	0.00968054211035818
"385"	"b.cell"	"myeloid.progenitor"	0.00964320154291225
"11"	"capillary.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00950118764845606
"285"	"lung.ciliated.cell"	"macrophage"	0.00946798917944094
"118"	"alveolar.fibroblast"	"erythrocyte"	0.00944287063267233
"270"	"alveolar.fibroblast"	"macrophage"	0.00943396226415094
"282"	"endothelial.cell.of.lymphatic.vessel"	"macrophage"	0.00940623162845385
"362"	"lung.microvascular.endothelial.cell"	"monocyte"	0.00930232558139535
"605"	"type.i.pneumocyte"	"plasma.cell"	0.0092436974789916
"498"	"alveolar.fibroblast"	"neutrophil"	0.0092378752886836
"600"	"pulmonary.ionocyte"	"plasma.cell"	0.00923206042803189
"275"	"bronchial.vessel.endothelial.cell"	"macrophage"	0.00917431192660551
"42"	"alveolar.fibroblast"	"cd8.positive..alpha.beta.t.cell"	0.00916380297823597
"211"	"macrophage"	"granulocyte"	0.00915032679738562
"163"	"capillary.endothelial.cell"	"erythroid.progenitor"	0.00911002102312544
"570"	"vein.endothelial.cell"	"nk.cell"	0.00909918107370337
"5"	"b.cell"	"cd4.positive..alpha.beta.t.cell"	0.00904159132007233
"496"	"cd4.positive..alpha.beta.t.cell"	"neutrophil"	0.00903342366757001
"349"	"basophil"	"monocyte"	0.00902527075812274
"330"	"non.classical.monocyte"	"memory.b.cell"	0.00899280575539568
"217"	"pericyte.cell"	"granulocyte"	0.00896495517522412
"358"	"endothelial.cell.of.lymphatic.vessel"	"monocyte"	0.00894700619408121
"134"	"lung.microvascular.endothelial.cell"	"erythrocyte"	0.00892857142857143
"83"	"basophil"	"cd24.neutrophil"	0.0089197224975223
"57"	"lung.ciliated.cell"	"cd8.positive..alpha.beta.t.cell"	0.00888681010289991
"288"	"mesothelial.cell"	"macrophage"	0.00887902330743618
"249"	"macrophage"	"hematopoietic.stem.cell"	0.00886917960088692
"350"	"bronchial.smooth.muscle.cell"	"monocyte"	0.00882723833543506
"222"	"respiratory.mucous.cell"	"granulocyte"	0.00879396984924623
"157"	"b.cell"	"erythroid.progenitor"	0.00878734622144113
"273"	"basophil"	"macrophage"	0.0087173100871731
"541"	"bronchial.vessel.endothelial.cell"	"nk.cell"	0.0087073007367716
"283"	"fibroblast"	"macrophage"	0.00865637937523523
"494"	"vein.endothelial.cell"	"nampt.neutrophil"	0.00864553314121038
"558"	"non.classical.monocyte"	"nk.cell"	0.00847457627118644
"212"	"mesothelial.cell"	"granulocyte"	0.00846432889963724
"108"	"respiratory.mucous.cell"	"cd24.neutrophil"	0.00835654596100279
"331"	"pericyte.cell"	"memory.b.cell"	0.00832562442183164
"592"	"mesothelial.cell"	"plasma.cell"	0.00827586206896552
"29"	"plasmacytoid.dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.008274231678487
"302"	"type.ii.pneumocyte"	"macrophage"	0.00821596244131455
"98"	"mesothelial.cell"	"cd24.neutrophil"	0.00812274368231047
"233"	"b.cell"	"hematopoietic.stem.cell"	0.00810185185185185
"394"	"dendritic.cell"	"myeloid.progenitor"	0.008
"490"	"smooth.muscle.cell"	"nampt.neutrophil"	0.00799086757990868
"319"	"endothelial.cell.of.artery"	"memory.b.cell"	0.00798934753661784
"568"	"type.ii.pneumocyte"	"nk.cell"	0.00796812749003984
"340"	"type.ii.pneumocyte"	"memory.b.cell"	0.00792393026941363
"424"	"basal.cell"	"naive.b.cell"	0.00786516853932584
"564"	"respiratory.mucous.cell"	"nk.cell"	0.00784929356357928
"499"	"b.cell"	"neutrophil"	0.00784655623365301
"452"	"smooth.muscle.cell"	"naive.b.cell"	0.00783289817232376
"73"	"type.i.pneumocyte"	"cd8.positive..alpha.beta.t.cell"	0.00777000777000777
"381"	"cd8.positive..alpha.beta.t.cell"	"myeloid.progenitor"	0.00776531492666091
"114"	"vein.endothelial.cell"	"cd24.neutrophil"	0.00774336283185841
"119"	"b.cell"	"erythrocyte"	0.00771775082690187
"532"	"vein.endothelial.cell"	"neutrophil"	0.00767018216682646
"554"	"mesothelial.cell"	"nk.cell"	0.00766283524904215
"465"	"bronchial.vessel.endothelial.cell"	"nampt.neutrophil"	0.00766016713091922
"556"	"neutrophil"	"nk.cell"	0.0076530612244898
"264"	"type.ii.pneumocyte"	"hematopoietic.stem.cell"	0.00765027322404372
"579"	"bronchial.vessel.endothelial.cell"	"plasma.cell"	0.00765027322404372
"173"	"macrophage"	"erythroid.progenitor"	0.00764006791171477
"479"	"myofibroblast.cell"	"nampt.neutrophil"	0.00760456273764259
"70"	"respiratory.mucous.cell"	"cd8.positive..alpha.beta.t.cell"	0.00759493670886076
"537"	"b.cell"	"nk.cell"	0.00746887966804979
"209"	"lung.ciliated.cell"	"granulocyte"	0.0074487895716946
"289"	"myofibroblast.cell"	"macrophage"	0.00743657042869641
"320"	"endothelial.cell.of.lymphatic.vessel"	"memory.b.cell"	0.0074173971679029
"132"	"intermediate.monocyte"	"erythrocyte"	0.00741525423728814
"528"	"smooth.muscle.cell"	"neutrophil"	0.00741163055872292
