"Bone marrow"	"Tongue"	"value"
"92"	"naive.b.cell"	"fibroblast"	0.00803212851405622
"119"	"hematopoietic.stem.cell"	"keratinocyte"	0.008
"153"	"memory.b.cell"	"schwann.cell"	0.00768919465803319
"116"	"erythrocyte"	"keratinocyte"	0.00762527233115468
"123"	"myeloid.progenitor"	"keratinocyte"	0.00761904761904762
"42"	"monocyte"	"endothelial.cell.of.artery"	0.00754005655042413
"131"	"cd24.neutrophil"	"pericyte.cell"	0.00745650372825186
"185"	"memory.b.cell"	"vein.endothelial.cell"	0.00738916256157635
"71"	"hematopoietic.stem.cell"	"epithelial.cell"	0.00735294117647059
"181"	"erythroid.progenitor"	"vein.endothelial.cell"	0.00725388601036269
"190"	"neutrophil"	"vein.endothelial.cell"	0.00719424460431655
"136"	"macrophage"	"pericyte.cell"	0.00699300699300699
"16"	"plasma.cell"	"basal.cell"	0.00681431005110733
"191"	"nk.cell"	"vein.endothelial.cell"	0.00678952473326867
"188"	"naive.b.cell"	"vein.endothelial.cell"	0.00664893617021277
"33"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00658513640639699
"174"	"neutrophil"	"tongue.muscle.cell"	0.0065843621399177
"8"	"macrophage"	"basal.cell"	0.00654450261780105
"161"	"cd4.positive..alpha.beta.t.cell"	"tongue.muscle.cell"	0.00644122383252818
"81"	"cd4.positive..alpha.beta.t.cell"	"fibroblast"	0.0064
"164"	"erythrocyte"	"tongue.muscle.cell"	0.00615384615384615
"49"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00592417061611374
"32"	"plasma.cell"	"capillary.endothelial.cell"	0.00586510263929619
"1"	"cd4.positive..alpha.beta.t.cell"	"basal.cell"	0.00581395348837209
"68"	"erythrocyte"	"epithelial.cell"	0.00581395348837209
"85"	"erythroid.progenitor"	"fibroblast"	0.00577557755775578
"145"	"cd4.positive..alpha.beta.t.cell"	"schwann.cell"	0.00571661902817477
"12"	"naive.b.cell"	"basal.cell"	0.00562429696287964
"9"	"memory.b.cell"	"basal.cell"	0.00552486187845304
"180"	"erythrocyte"	"vein.endothelial.cell"	0.00544959128065395
"177"	"cd4.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0.00526315789473684
"101"	"erythroid.progenitor"	"immune.cell"	0.00501567398119122
"127"	"nk.cell"	"keratinocyte"	0.00492206726825267
"25"	"memory.b.cell"	"capillary.endothelial.cell"	0.00470219435736677
"128"	"plasma.cell"	"keratinocyte"	0.00470219435736677
"163"	"cd24.neutrophil"	"tongue.muscle.cell"	0.00463821892393321
"89"	"memory.b.cell"	"fibroblast"	0.00459418070444104
"66"	"cd8.positive..alpha.beta.t.cell"	"epithelial.cell"	0.00445103857566766
"130"	"cd8.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00433839479392625
"15"	"nk.cell"	"basal.cell"	0.00427350427350427
"124"	"naive.b.cell"	"keratinocyte"	0.00425531914893617
"114"	"cd8.positive..alpha.beta.t.cell"	"keratinocyte"	0.00408719346049046
"74"	"monocyte"	"epithelial.cell"	0.00395256916996047
"10"	"monocyte"	"basal.cell"	0.00387596899224806
"82"	"cd8.positive..alpha.beta.t.cell"	"fibroblast"	0.00377833753148615
"166"	"granulocyte"	"tongue.muscle.cell"	0.00376411543287327
"178"	"cd8.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0.00364963503649635
"78"	"neutrophil"	"epithelial.cell"	0.00362647325475975
"182"	"granulocyte"	"vein.endothelial.cell"	0.0036036036036036
"113"	"cd4.positive..alpha.beta.t.cell"	"keratinocyte"	0.00352733686067019
"76"	"naive.b.cell"	"epithelial.cell"	0.00340522133938706
"121"	"memory.b.cell"	"keratinocyte"	0.00336700336700337
"169"	"memory.b.cell"	"tongue.muscle.cell"	0.00307692307692308
