"Spleen"	"Lung"	"value"
"622"	"platelet"	"non.classical.monocyte"	0.019273127753304
"827"	"intermediate.monocyte"	"type.i.pneumocyte"	0.0191419141914191
"862"	"platelet"	"type.ii.pneumocyte"	0.019047619047619
"633"	"hematopoietic.stem.cell"	"pericyte.cell"	0.0190092165898618
"286"	"platelet"	"classical.monocyte"	0.0188984881209503
"876"	"macrophage"	"vascular.associated.smooth.muscle.cell"	0.018854242204496
"885"	"plasmacytoid.dendritic.cell"	"vascular.associated.smooth.muscle.cell"	0.0188536953242836
"212"	"plasma.cell"	"bronchial.vessel.endothelial.cell"	0.018640350877193
"331"	"nk.cell"	"dendritic.cell"	0.0185449358059914
"323"	"intermediate.monocyte"	"dendritic.cell"	0.0185387131952017
"326"	"memory.b.cell"	"dendritic.cell"	0.0185185185185185
"583"	"endothelial.cell"	"nk.cell"	0.0184573002754821
"180"	"macrophage"	"bronchial.smooth.muscle.cell"	0.0184190330007675
"511"	"endothelial.cell"	"mesothelial.cell"	0.0183314627759072
"334"	"platelet"	"dendritic.cell"	0.0183028286189684
"392"	"erythrocyte"	"fibroblast"	0.0181467181467181
"330"	"neutrophil"	"dendritic.cell"	0.0181159420289855
"502"	"platelet"	"macrophage"	0.0180851063829787
"472"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"lung.microvascular.endothelial.cell"	0.018018018018018
"417"	"hematopoietic.stem.cell"	"intermediate.monocyte"	0.0179968701095462
"822"	"classical.monocyte"	"type.i.pneumocyte"	0.0179968701095462
"298"	"innate.lymphoid.cell"	"club.cell"	0.0178784266984505
"777"	"hematopoietic.stem.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0178710178710179
"371"	"intermediate.monocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0178474851270957
"28"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0177053824362606
"704"	"erythrocyte"	"pulmonary.ionocyte"	0.0176282051282051
"512"	"erythrocyte"	"mesothelial.cell"	0.0176263219741481
"346"	"innate.lymphoid.cell"	"endothelial.cell.of.artery"	0.0174793008279669
"250"	"innate.lymphoid.cell"	"capillary.endothelial.cell"	0.0174273858921162
"335"	"regulatory.t.cell"	"dendritic.cell"	0.0173913043478261
"529"	"cd1c.positive.myeloid.dendritic.cell"	"myofibroblast.cell"	0.0173754000914495
"10"	"innate.lymphoid.cell"	"cd8.positive..alpha.beta.t.cell"	0.017357762777242
"599"	"regulatory.t.cell"	"nk.cell"	0.0173548773189707
"327"	"naive.b.cell"	"dendritic.cell"	0.0172955974842767
"409"	"cd1c.positive.myeloid.dendritic.cell"	"intermediate.monocyte"	0.0172413793103448
"172"	"cd8.positive..alpha.beta.t.cell"	"bronchial.smooth.muscle.cell"	0.0171597633136095
"802"	"innate.lymphoid.cell"	"smooth.muscle.cell"	0.0171165240289664
"707"	"intermediate.monocyte"	"pulmonary.ionocyte"	0.0170244263508512
"849"	"hematopoietic.stem.cell"	"type.ii.pneumocyte"	0.017014694508894
"347"	"intermediate.monocyte"	"endothelial.cell.of.artery"	0.0168738898756661
"402"	"neutrophil"	"fibroblast"	0.0168659920269856
"396"	"macrophage"	"fibroblast"	0.0168558651530788
"632"	"erythrocyte"	"pericyte.cell"	0.0168134507606085
"381"	"plasmacytoid.dendritic.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0167802831672784
