"Lung"	"Trachea"	"value"
"546"	"dendritic.cell"	"neutrophil"	0.028324154209284
"98"	"mesothelial.cell"	"basal.cell"	0.0282926829268293
"290"	"neutrophil"	"double.positive..alpha.beta.thymocyte"	0.0282574568288854
"481"	"nk.cell"	"mast.cell"	0.0282258064516129
"669"	"myofibroblast.cell"	"serous.cell.of.epithelium.of.trachea"	0.0282171868319795
"321"	"fibroblast"	"endothelial.cell"	0.0281556469471686
"85"	"bronchial.vessel.endothelial.cell"	"basal.cell"	0.0280759702725021
"390"	"capillary.aerocyte"	"ionocyte"	0.0278207109737249
"206"	"endothelial.cell.of.lymphatic.vessel"	"ciliated.cell"	0.0273102572245157
"389"	"bronchial.vessel.endothelial.cell"	"ionocyte"	0.0268482490272374
"258"	"pulmonary.ionocyte"	"connective.tissue.cell"	0.026828489300543
"643"	"type.i.pneumocyte"	"secretory.cell"	0.0267281105990783
"331"	"pericyte.cell"	"endothelial.cell"	0.0267175572519084
"483"	"pericyte.cell"	"mast.cell"	0.026554856743536
"357"	"endothelial.cell.of.artery"	"fibroblast"	0.0264705882352941
"369"	"pericyte.cell"	"fibroblast"	0.0260223048327138
"676"	"pulmonary.ionocyte"	"serous.cell.of.epithelium.of.trachea"	0.0259839510890332
"6"	"basal.cell"	"goblet.cell"	0.0258249641319943
"359"	"fibroblast"	"fibroblast"	0.025765496639283
"662"	"endothelial.cell.of.lymphatic.vessel"	"serous.cell.of.epithelium.of.trachea"	0.0253664036076663
"96"	"lung.microvascular.endothelial.cell"	"basal.cell"	0.0246913580246914
"557"	"nk.cell"	"neutrophil"	0.0245346869712352
"467"	"capillary.endothelial.cell"	"mast.cell"	0.0244698205546493
"222"	"respiratory.mucous.cell"	"ciliated.cell"	0.0243693886276186
"621"	"club.cell"	"secretory.cell"	0.0243362831858407
"365"	"myofibroblast.cell"	"fibroblast"	0.0242005185825411
"358"	"endothelial.cell.of.lymphatic.vessel"	"fibroblast"	0.0241102181400689
"675"	"plasmacytoid.dendritic.cell"	"serous.cell.of.epithelium.of.trachea"	0.0238805970149254
"350"	"bronchial.smooth.muscle.cell"	"fibroblast"	0.0238095238095238
"275"	"bronchial.vessel.endothelial.cell"	"double.positive..alpha.beta.thymocyte"	0.0237981913374584
"417"	"vascular.associated.smooth.muscle.cell"	"ionocyte"	0.0237912509593246
"472"	"endothelial.cell.of.lymphatic.vessel"	"mast.cell"	0.0234972677595628
"112"	"type.ii.pneumocyte"	"basal.cell"	0.0234454638124363
"106"	"pulmonary.ionocyte"	"basal.cell"	0.0232558139534884
"694"	"capillary.aerocyte"	"smooth.muscle.cell"	0.023130300693909
"687"	"adventitial.cell"	"smooth.muscle.cell"	0.0230292294065545
"243"	"endothelial.cell.of.artery"	"connective.tissue.cell"	0.0228426395939086
"301"	"type.i.pneumocyte"	"double.positive..alpha.beta.thymocyte"	0.0227272727272727
"527"	"serous.cell.of.epithelium.of.bronchus"	"mucus.secreting.cell"	0.0225846925972397
"707"	"myofibroblast.cell"	"smooth.muscle.cell"	0.0219959266802444
"543"	"capillary.endothelial.cell"	"neutrophil"	0.0218340611353712
"34"	"smooth.muscle.cell"	"goblet.cell"	0.0217554388597149
"103"	"pericyte.cell"	"basal.cell"	0.0217238962859145
"473"	"fibroblast"	"mast.cell"	0.0216138328530259
"22"	"mesothelial.cell"	"goblet.cell"	0.0215827338129496
"523"	"plasmacytoid.dendritic.cell"	"mucus.secreting.cell"	0.0213106020245072
"511"	"fibroblast"	"mucus.secreting.cell"	0.0212683681361176
"338"	"smooth.muscle.cell"	"endothelial.cell"	0.021047227926078
"542"	"capillary.aerocyte"	"neutrophil"	0.0209230769230769
"500"	"basal.cell"	"mucus.secreting.cell"	0.020891364902507
"64"	"non.classical.monocyte"	"b.cell"	0.0208044382801664
"517"	"myofibroblast.cell"	"mucus.secreting.cell"	0.0207394048692516
"99"	"myofibroblast.cell"	"basal.cell"	0.0204251771571488
"92"	"endothelial.cell.of.lymphatic.vessel"	"basal.cell"	0.0202739726027397
"682"	"type.ii.pneumocyte"	"serous.cell.of.epithelium.of.trachea"	0.0201698513800425
"663"	"fibroblast"	"serous.cell.of.epithelium.of.trachea"	0.0201686835350202
"224"	"smooth.muscle.cell"	"ciliated.cell"	0.0201458839874957
"215"	"nk.cell"	"ciliated.cell"	0.0200899550224888
"29"	"plasmacytoid.dendritic.cell"	"goblet.cell"	0.0198711063372718
"253"	"nk.cell"	"connective.tissue.cell"	0.0198621807863802
"217"	"pericyte.cell"	"ciliated.cell"	0.0198126801152738
"352"	"capillary.aerocyte"	"fibroblast"	0.0197424892703863
"391"	"capillary.endothelial.cell"	"ionocyte"	0.0197063369397218
"700"	"endothelial.cell.of.lymphatic.vessel"	"smooth.muscle.cell"	0.0196182396606575
"203"	"club.cell"	"ciliated.cell"	0.0195188379482524
"3"	"adventitial.cell"	"goblet.cell"	0.0194285714285714
"412"	"respiratory.mucous.cell"	"ionocyte"	0.01940109658372
"341"	"vascular.associated.smooth.muscle.cell"	"endothelial.cell"	0.0191961607678464
"280"	"dendritic.cell"	"double.positive..alpha.beta.thymocyte"	0.019036954087346
"227"	"vascular.associated.smooth.muscle.cell"	"ciliated.cell"	0.018860662047729
"471"	"endothelial.cell.of.artery"	"mast.cell"	0.0188340807174888
"402"	"mesothelial.cell"	"ionocyte"	0.0187265917602996
"701"	"fibroblast"	"smooth.muscle.cell"	0.0187080833039181
"395"	"endothelial.cell.of.artery"	"ionocyte"	0.0186008896077638
"466"	"capillary.aerocyte"	"mast.cell"	0.018341307814992
"377"	"type.i.pneumocyte"	"fibroblast"	0.0183098591549296
"266"	"vein.endothelial.cell"	"connective.tissue.cell"	0.0183066361556064
"285"	"lung.ciliated.cell"	"double.positive..alpha.beta.thymocyte"	0.0182606004333024
"198"	"bronchial.smooth.muscle.cell"	"ciliated.cell"	0.0182322631787554
"30"	"pulmonary.ionocyte"	"goblet.cell"	0.0181378476420798
"668"	"mesothelial.cell"	"serous.cell.of.epithelium.of.trachea"	0.0181268882175227
"166"	"dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.0180645161290323
"143"	"plasmacytoid.dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.0180281690140845
"599"	"plasmacytoid.dendritic.cell"	"plasma.cell"	0.0178890876565295
"548"	"endothelial.cell.of.lymphatic.vessel"	"neutrophil"	0.0175992779783394
"510"	"endothelial.cell.of.lymphatic.vessel"	"mucus.secreting.cell"	0.0175864160097029
"95"	"lung.ciliated.cell"	"basal.cell"	0.0174989329918907
"353"	"capillary.endothelial.cell"	"fibroblast"	0.01743679163034
"413"	"serous.cell.of.epithelium.of.bronchus"	"ionocyte"	0.0174319727891156
"45"	"basophil"	"b.cell"	0.0173564753004005
"109"	"serous.cell.of.epithelium.of.bronchus"	"basal.cell"	0.0173116089613035
"303"	"vascular.associated.smooth.muscle.cell"	"double.positive..alpha.beta.thymocyte"	0.0172655156322912
"477"	"macrophage"	"mast.cell"	0.0172413793103448
"312"	"bronchial.smooth.muscle.cell"	"endothelial.cell"	0.0169385194479297
"108"	"respiratory.mucous.cell"	"basal.cell"	0.0168986083499006
"524"	"pulmonary.ionocyte"	"mucus.secreting.cell"	0.0167865707434053
"443"	"nk.cell"	"macrophage"	0.0167322834645669
"486"	"pulmonary.ionocyte"	"mast.cell"	0.0167037861915367
"719"	"type.i.pneumocyte"	"smooth.muscle.cell"	0.0166773572803079
"513"	"lung.ciliated.cell"	"mucus.secreting.cell"	0.0166358595194085
"327"	"myofibroblast.cell"	"endothelial.cell"	0.0166312809624912
"56"	"intermediate.monocyte"	"b.cell"	0.0165816326530612
"93"	"fibroblast"	"basal.cell"	0.016552716804606
"479"	"myofibroblast.cell"	"mast.cell"	0.0165357585779248
"105"	"plasmacytoid.dendritic.cell"	"basal.cell"	0.0164489598451863
"276"	"capillary.aerocyte"	"double.positive..alpha.beta.thymocyte"	0.0163781001403837
"575"	"b.cell"	"plasma.cell"	0.0163636363636364
"650"	"alveolar.fibroblast"	"serous.cell.of.epithelium.of.trachea"	0.0162213740458015
"482"	"non.classical.monocyte"	"mast.cell"	0.0162162162162162
"257"	"plasmacytoid.dendritic.cell"	"connective.tissue.cell"	0.0160973694542599
"333"	"plasmacytoid.dendritic.cell"	"endothelial.cell"	0.0160901045856798
"655"	"bronchial.vessel.endothelial.cell"	"serous.cell.of.epithelium.of.trachea"	0.0160608622147084
"62"	"neutrophil"	"b.cell"	0.0160320641282565
"457"	"cd8.positive..alpha.beta.t.cell"	"mast.cell"	0.0159176029962547
"671"	"nk.cell"	"serous.cell.of.epithelium.of.trachea"	0.0158567774936061
"673"	"pericyte.cell"	"serous.cell.of.epithelium.of.trachea"	0.0157932519741565
"278"	"classical.monocyte"	"double.positive..alpha.beta.thymocyte"	0.0157437567861021
"393"	"club.cell"	"ionocyte"	0.0156810035842294
"665"	"lung.ciliated.cell"	"serous.cell.of.epithelium.of.trachea"	0.0156182212581345
"454"	"type.ii.pneumocyte"	"macrophage"	0.015609756097561
"277"	"capillary.endothelial.cell"	"double.positive..alpha.beta.thymocyte"	0.0155807365439093
"695"	"capillary.endothelial.cell"	"smooth.muscle.cell"	0.015552099533437
"196"	"basal.cell"	"ciliated.cell"	0.0155210643015521
"101"	"nk.cell"	"basal.cell"	0.0155155155155155
"706"	"mesothelial.cell"	"smooth.muscle.cell"	0.0154826958105647
"699"	"endothelial.cell.of.artery"	"smooth.muscle.cell"	0.0154109589041096
"547"	"endothelial.cell.of.artery"	"neutrophil"	0.0153846153846154
"386"	"basal.cell"	"ionocyte"	0.015377855887522
"378"	"type.ii.pneumocyte"	"fibroblast"	0.0153508771929825
"84"	"bronchial.smooth.muscle.cell"	"basal.cell"	0.0152801358234295
"492"	"type.ii.pneumocyte"	"mast.cell"	0.015
"274"	"bronchial.smooth.muscle.cell"	"double.positive..alpha.beta.thymocyte"	0.0149686141960406
"434"	"endothelial.cell.of.lymphatic.vessel"	"macrophage"	0.0149652592196686
"567"	"type.i.pneumocyte"	"neutrophil"	0.0148226574907358
"404"	"neutrophil"	"ionocyte"	0.0146914789422135
"248"	"lung.microvascular.endothelial.cell"	"connective.tissue.cell"	0.0146379044684129
"380"	"vein.endothelial.cell"	"fibroblast"	0.0144927536231884
"179"	"pericyte.cell"	"cd8.positive..alpha.beta.t.cell"	0.0144596651445967
"363"	"macrophage"	"fibroblast"	0.0144284128745838
"175"	"myofibroblast.cell"	"cd8.positive..alpha.beta.t.cell"	0.014410480349345
"326"	"mesothelial.cell"	"endothelial.cell"	0.01440329218107
"453"	"type.i.pneumocyte"	"macrophage"	0.0142949967511371
"445"	"pericyte.cell"	"macrophage"	0.014246947082768
"490"	"smooth.muscle.cell"	"mast.cell"	0.0141661300708307
"226"	"type.ii.pneumocyte"	"ciliated.cell"	0.0140784982935154
"683"	"vascular.associated.smooth.muscle.cell"	"serous.cell.of.epithelium.of.trachea"	0.014003294892916
"652"	"basal.cell"	"serous.cell.of.epithelium.of.trachea"	0.0139211136890951
"87"	"capillary.endothelial.cell"	"basal.cell"	0.0138436482084691
"519"	"nk.cell"	"mucus.secreting.cell"	0.0137362637362637
"223"	"serous.cell.of.epithelium.of.bronchus"	"ciliated.cell"	0.0136752136752137
"644"	"type.ii.pneumocyte"	"secretory.cell"	0.0136518771331058
"713"	"plasmacytoid.dendritic.cell"	"smooth.muscle.cell"	0.013595874355368
"539"	"basophil"	"neutrophil"	0.0135338345864662
"657"	"capillary.endothelial.cell"	"serous.cell.of.epithelium.of.trachea"	0.0134907251264755
"47"	"bronchial.vessel.endothelial.cell"	"b.cell"	0.0134874759152216
