"Spleen"	"Skeletal muscle"	"value"
"250"	"innate.lymphoid.cell"	"mature.nk.t.cell"	0.019674355495251
"430"	"platelet"	"t.cell"	0.0196463654223969
"371"	"intermediate.monocyte"	"slow.muscle.cell"	0.0196428571428571
"91"	"nk.cell"	"endothelial.cell.of.artery"	0.0194472876151484
"405"	"plasmacytoid.dendritic.cell"	"smooth.muscle.cell"	0.0194465220643231
"125"	"cd141.positive.myeloid.dendritic.cell"	"endothelial.cell.of.vascular.tree"	0.0193637621023513
"390"	"classical.monocyte"	"smooth.muscle.cell"	0.0191754554170662
"12"	"macrophage"	"capillary.endothelial.cell"	0.0191693290734824
"138"	"neutrophil"	"endothelial.cell.of.vascular.tree"	0.019047619047619
"298"	"innate.lymphoid.cell"	"mesothelial.cell"	0.018978102189781
"337"	"cd1c.positive.myeloid.dendritic.cell"	"skeletal.muscle.satellite.stem.cell"	0.018641810918775
"180"	"macrophage"	"fast.muscle.cell"	0.0183727034120735
"58"	"innate.lymphoid.cell"	"cd8.positive..alpha.beta.t.cell"	0.0183696900114811
"296"	"erythrocyte"	"mesothelial.cell"	0.0182572614107884
"37"	"mature.nk.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0182232346241458
"82"	"innate.lymphoid.cell"	"endothelial.cell.of.artery"	0.0181660899653979
"274"	"innate.lymphoid.cell"	"mesenchymal.stem.cell"	0.0180658873538789
"282"	"neutrophil"	"mesenchymal.stem.cell"	0.0180305131761442
"395"	"intermediate.monocyte"	"smooth.muscle.cell"	0.0179267342166797
"132"	"macrophage"	"endothelial.cell.of.vascular.tree"	0.0178890876565295
"193"	"cd1c.positive.myeloid.dendritic.cell"	"macrophage"	0.0177332305319969
"41"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0175879396984925
"77"	"cd141.positive.myeloid.dendritic.cell"	"endothelial.cell.of.artery"	0.0175824175824176
"207"	"naive.b.cell"	"macrophage"	0.0175438596491228
"64"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.017156862745098
"306"	"neutrophil"	"mesothelial.cell"	0.0170757737459979
"263"	"regulatory.t.cell"	"mature.nk.t.cell"	0.0170502983802217
"370"	"innate.lymphoid.cell"	"slow.muscle.cell"	0.0170109356014581
