"Trachea"	"Bone marrow"	"value"
"9"	"endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00939368061485909
"279"	"smooth.muscle.cell"	"neutrophil"	0.00926585887384177
"132"	"macrophage"	"hematopoietic.stem.cell"	0.00911577028258888
"181"	"goblet.cell"	"monocyte"	0.00910746812386157
"265"	"cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.00902378999179656
"11"	"ionocyte"	"cd4.positive..alpha.beta.t.cell"	0.00891181988742964
"166"	"ciliated.cell"	"memory.b.cell"	0.00888681010289991
"173"	"mast.cell"	"memory.b.cell"	0.00888324873096447
"61"	"goblet.cell"	"erythrocyte"	0.008859357696567
"261"	"goblet.cell"	"neutrophil"	0.00874890638670166
"17"	"secretory.cell"	"cd4.positive..alpha.beta.t.cell"	0.00872093023255814
"59"	"smooth.muscle.cell"	"cd24.neutrophil"	0.00869565217391304
"64"	"cd4.positive..alpha.beta.t.cell"	"erythrocyte"	0.00862068965517241
"107"	"connective.tissue.cell"	"granulocyte"	0.00852878464818763
"234"	"mucus.secreting.cell"	"naive.b.cell"	0.00851063829787234
"146"	"ciliated.cell"	"macrophage"	0.00847457627118644
"32"	"macrophage"	"cd8.positive..alpha.beta.t.cell"	0.00838574423480084
"168"	"double.positive..alpha.beta.thymocyte"	"memory.b.cell"	0.00835322195704057
"282"	"b.cell"	"nk.cell"	0.00826446280991736
"164"	"cd4.positive..alpha.beta.t.cell"	"memory.b.cell"	0.00823045267489712
"128"	"double.positive..alpha.beta.thymocyte"	"hematopoietic.stem.cell"	0.00816326530612245
"143"	"basal.cell"	"macrophage"	0.00800800800800801
"225"	"cd8.positive..alpha.beta.t.cell"	"naive.b.cell"	0.00800800800800801
"195"	"neutrophil"	"monocyte"	0.00789473684210526
"283"	"basal.cell"	"nk.cell"	0.00784593437945792
"242"	"b.cell"	"nampt.neutrophil"	0.0078125
"258"	"serous.cell.of.epithelium.of.trachea"	"nampt.neutrophil"	0.00768639508070715
"230"	"fibroblast"	"naive.b.cell"	0.00764818355640535
"57"	"secretory.cell"	"cd24.neutrophil"	0.00750938673341677
"105"	"cd8.positive..alpha.beta.t.cell"	"granulocyte"	0.00749063670411985
"116"	"plasma.cell"	"granulocyte"	0.00749063670411985
"263"	"basal.cell"	"neutrophil"	0.00743494423791822
"45"	"cd8.positive..alpha.beta.t.cell"	"cd24.neutrophil"	0.00739371534195933
"1"	"goblet.cell"	"cd4.positive..alpha.beta.t.cell"	0.00725952813067151
"313"	"mast.cell"	"plasma.cell"	0.00719424460431655
"250"	"fibroblast"	"nampt.neutrophil"	0.00710339384372534
"212"	"macrophage"	"myeloid.progenitor"	0.00706436420722135
"171"	"ionocyte"	"memory.b.cell"	0.00693481276005548
"94"	"mucus.secreting.cell"	"erythroid.progenitor"	0.00692640692640693
"161"	"goblet.cell"	"memory.b.cell"	0.0069204152249135
"145"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.00684931506849315
"102"	"b.cell"	"granulocyte"	0.00681198910081744
"118"	"serous.cell.of.epithelium.of.trachea"	"granulocyte"	0.00679501698754247
"319"	"smooth.muscle.cell"	"plasma.cell"	0.00678733031674208
"109"	"endothelial.cell"	"granulocyte"	0.00667655786350148
"3"	"basal.cell"	"cd4.positive..alpha.beta.t.cell"	0.00664893617021277
"13"	"mast.cell"	"cd4.positive..alpha.beta.t.cell"	0.00655307994757536
"294"	"mucus.secreting.cell"	"nk.cell"	0.00655200655200655
"7"	"connective.tissue.cell"	"cd4.positive..alpha.beta.t.cell"	0.00647249190938511
"27"	"connective.tissue.cell"	"cd8.positive..alpha.beta.t.cell"	0.00641482537419815
"318"	"serous.cell.of.epithelium.of.trachea"	"plasma.cell"	0.00640204865556978
"306"	"ciliated.cell"	"plasma.cell"	0.00639853747714808
"12"	"macrophage"	"cd4.positive..alpha.beta.t.cell"	0.00633713561470215
