"Tongue"	"Trachea"	"value"
"215"	"tongue.muscle.cell"	"serous.cell.of.epithelium.of.trachea"	0.00929752066115703
"26"	"capillary.endothelial.cell"	"basal.cell"	0.009
"150"	"fibroblast"	"mast.cell"	0.0087719298245614
"2"	"capillary.endothelial.cell"	"goblet.cell"	0.00875
"143"	"tongue.muscle.cell"	"macrophage"	0.00858778625954199
"179"	"tongue.muscle.cell"	"neutrophil"	0.00856531049250535
"173"	"epithelial.cell"	"neutrophil"	0.00855365474339036
"133"	"basal.cell"	"macrophage"	0.00848356309650053
"66"	"fibroblast"	"ciliated.cell"	0.00841396718552798
"93"	"pericyte.cell"	"double.positive..alpha.beta.thymocyte"	0.00832517140058766
"127"	"immune.cell"	"ionocyte"	0.00827635840230299
"216"	"vein.endothelial.cell"	"serous.cell.of.epithelium.of.trachea"	0.00824175824175824
"46"	"schwann.cell"	"cd4.positive..alpha.beta.t.cell"	0.00786163522012579
"181"	"basal.cell"	"plasma.cell"	0.00775193798449612
"195"	"endothelial.cell.of.artery"	"secretory.cell"	0.00764087870105062
"145"	"basal.cell"	"mast.cell"	0.00762527233115468
"110"	"capillary.endothelial.cell"	"fibroblast"	0.00757575757575758
"144"	"vein.endothelial.cell"	"macrophage"	0.00742574257425743
"21"	"pericyte.cell"	"b.cell"	0.00734522560335782
"120"	"vein.endothelial.cell"	"fibroblast"	0.00720461095100865
"65"	"epithelial.cell"	"ciliated.cell"	0.0070765148164529
"38"	"capillary.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00704225352112676
"13"	"basal.cell"	"b.cell"	0.00698324022346369
"168"	"vein.endothelial.cell"	"mucus.secreting.cell"	0.0067911714770798
"59"	"tongue.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.00674915635545557
"219"	"endothelial.cell.of.artery"	"smooth.muscle.cell"	0.00659630606860158
"218"	"capillary.endothelial.cell"	"smooth.muscle.cell"	0.00658513640639699
"92"	"keratinocyte"	"double.positive..alpha.beta.thymocyte"	0.00645855758880517
"105"	"pericyte.cell"	"endothelial.cell"	0.00637755102040816
"165"	"pericyte.cell"	"mucus.secreting.cell"	0.00623052959501558
"14"	"capillary.endothelial.cell"	"b.cell"	0.0061652281134402
"67"	"immune.cell"	"ciliated.cell"	0.00615050651230101
"158"	"capillary.endothelial.cell"	"mucus.secreting.cell"	0.00609756097560976
"85"	"basal.cell"	"double.positive..alpha.beta.thymocyte"	0.00608070757324489
"167"	"tongue.muscle.cell"	"mucus.secreting.cell"	0.00601684717208183
"51"	"endothelial.cell.of.artery"	"cd8.positive..alpha.beta.t.cell"	0.00600600600600601
"116"	"keratinocyte"	"fibroblast"	0.00567536889897843
"183"	"endothelial.cell.of.artery"	"plasma.cell"	0.00563380281690141
"230"	"capillary.endothelial.cell"	"t.cell"	0.00532859680284192
"20"	"keratinocyte"	"b.cell"	0.00521512385919166
"132"	"vein.endothelial.cell"	"ionocyte"	0.00509259259259259
"194"	"capillary.endothelial.cell"	"secretory.cell"	0.00503355704697987
