"Trachea"	"Lung"	"value"
"558"	"serous.cell.of.epithelium.of.trachea"	"plasma.cell"	0
"559"	"smooth.muscle.cell"	"plasma.cell"	0
"560"	"t.cell"	"plasma.cell"	0
"604"	"cd4.positive..alpha.beta.t.cell"	"respiratory.goblet.cell"	0
"608"	"double.positive..alpha.beta.thymocyte"	"respiratory.goblet.cell"	0
"613"	"mast.cell"	"respiratory.goblet.cell"	0
"620"	"t.cell"	"respiratory.goblet.cell"	0
"622"	"b.cell"	"respiratory.mucous.cell"	0
"660"	"t.cell"	"serous.cell.of.epithelium.of.bronchus"	0
"760"	"t.cell"	"vein.endothelial.cell"	0
