"Trachea"	"Lung"	"value"
"573"	"mast.cell"	"plasmacytoid.dendritic.cell"	0.0292397660818713
"565"	"cd8.positive..alpha.beta.t.cell"	"plasmacytoid.dendritic.cell"	0.0291666666666667
"241"	"goblet.cell"	"club.cell"	0.0291411042944785
"151"	"ionocyte"	"bronchial.smooth.muscle.cell"	0.028594122319301
"689"	"endothelial.cell"	"type.i.pneumocyte"	0.0284960422163588
"275"	"neutrophil"	"dendritic.cell"	0.028324154209284
"423"	"basal.cell"	"mesothelial.cell"	0.0282926829268293
"468"	"double.positive..alpha.beta.thymocyte"	"neutrophil"	0.0282574568288854
"493"	"mast.cell"	"nk.cell"	0.0282258064516129
"458"	"serous.cell.of.epithelium.of.trachea"	"myofibroblast.cell"	0.0282171868319795
"329"	"endothelial.cell"	"fibroblast"	0.0281556469471686
"163"	"basal.cell"	"bronchial.vessel.endothelial.cell"	0.0280759702725021
"191"	"ionocyte"	"capillary.aerocyte"	0.0278207109737249
"306"	"ciliated.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0273102572245157
"171"	"ionocyte"	"bronchial.vessel.endothelial.cell"	0.0268482490272374
"587"	"connective.tissue.cell"	"pulmonary.ionocyte"	0.026828489300543
"697"	"secretory.cell"	"type.i.pneumocyte"	0.0267281105990783
"529"	"endothelial.cell"	"pericyte.cell"	0.0267175572519084
"533"	"mast.cell"	"pericyte.cell"	0.026554856743536
"290"	"fibroblast"	"endothelial.cell.of.artery"	0.0264705882352941
"530"	"fibroblast"	"pericyte.cell"	0.0260223048327138
"598"	"serous.cell.of.epithelium.of.trachea"	"pulmonary.ionocyte"	0.0259839510890332
"101"	"goblet.cell"	"basal.cell"	0.0258249641319943
"330"	"fibroblast"	"fibroblast"	0.025765496639283
"318"	"serous.cell.of.epithelium.of.trachea"	"endothelial.cell.of.lymphatic.vessel"	0.0253664036076663
"383"	"basal.cell"	"lung.microvascular.endothelial.cell"	0.0246913580246914
"495"	"neutrophil"	"nk.cell"	0.0245346869712352
"213"	"mast.cell"	"capillary.endothelial.cell"	0.0244698205546493
"626"	"ciliated.cell"	"respiratory.mucous.cell"	0.0243693886276186
"257"	"secretory.cell"	"club.cell"	0.0243362831858407
"450"	"fibroblast"	"myofibroblast.cell"	0.0242005185825411
"310"	"fibroblast"	"endothelial.cell.of.lymphatic.vessel"	0.0241102181400689
"578"	"serous.cell.of.epithelium.of.trachea"	"plasmacytoid.dendritic.cell"	0.0238805970149254
"150"	"fibroblast"	"bronchial.smooth.muscle.cell"	0.0238095238095238
"168"	"double.positive..alpha.beta.thymocyte"	"bronchial.vessel.endothelial.cell"	0.0237981913374584
"731"	"ionocyte"	"vascular.associated.smooth.muscle.cell"	0.0237912509593246
"313"	"mast.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0234972677595628
"703"	"basal.cell"	"type.ii.pneumocyte"	0.0234454638124363
"583"	"basal.cell"	"pulmonary.ionocyte"	0.0232558139534884
"199"	"smooth.muscle.cell"	"capillary.aerocyte"	0.023130300693909
"59"	"smooth.muscle.cell"	"adventitial.cell"	0.0230292294065545
"287"	"connective.tissue.cell"	"endothelial.cell.of.artery"	0.0228426395939086
