"Bone marrow"	"Lung"	"value"
"49"	"cd4.positive..alpha.beta.t.cell"	"alveolar.fibroblast"	0.0113475177304965
"307"	"cd24.neutrophil"	"lung.microvascular.endothelial.cell"	0.0113250283125708
"258"	"cd8.positive..alpha.beta.t.cell"	"fibroblast"	0.0112884390813546
"487"	"hematopoietic.stem.cell"	"respiratory.goblet.cell"	0.0111731843575419
"523"	"myeloid.progenitor"	"serous.cell.of.epithelium.of.bronchus"	0.0111008325624422
"63"	"nk.cell"	"alveolar.fibroblast"	0.0110782865583456
"334"	"neutrophil"	"macrophage"	0.0109983079526227
"53"	"erythroid.progenitor"	"alveolar.fibroblast"	0.0108611326609775
"97"	"cd4.positive..alpha.beta.t.cell"	"basophil"	0.0108303249097473
"61"	"nampt.neutrophil"	"alveolar.fibroblast"	0.0108024691358025
"510"	"neutrophil"	"respiratory.mucous.cell"	0.010717230008244
"324"	"erythrocyte"	"macrophage"	0.0106044538706257
"531"	"cd24.neutrophil"	"smooth.muscle.cell"	0.0105590062111801
"582"	"granulocyte"	"vascular.associated.smooth.muscle.cell"	0.0105465004793864
"36"	"erythrocyte"	"adventitial.cell"	0.010536398467433
"553"	"memory.b.cell"	"type.i.pneumocyte"	0.0104895104895105
"588"	"naive.b.cell"	"vascular.associated.smooth.muscle.cell"	0.0104754230459307
"483"	"cd24.neutrophil"	"respiratory.goblet.cell"	0.0104651162790698
"358"	"granulocyte"	"myofibroblast.cell"	0.0104308390022676
"197"	"erythroid.progenitor"	"club.cell"	0.010406811731315
"137"	"memory.b.cell"	"bronchial.vessel.endothelial.cell"	0.01036866359447
"19"	"cd24.neutrophil"	"cd4.positive..alpha.beta.t.cell"	0.0103412616339193
"312"	"macrophage"	"lung.microvascular.endothelial.cell"	0.0103244837758112
"210"	"cd8.positive..alpha.beta.t.cell"	"dendritic.cell"	0.0102941176470588
"590"	"neutrophil"	"vascular.associated.smooth.muscle.cell"	0.0102599179206566
"535"	"hematopoietic.stem.cell"	"smooth.muscle.cell"	0.0102249488752556
"262"	"granulocyte"	"fibroblast"	0.0100814269096549
"441"	"memory.b.cell"	"plasma.cell"	0.0100671140939597
"297"	"memory.b.cell"	"lung.ciliated.cell"	0.0100200400801603
"213"	"erythroid.progenitor"	"dendritic.cell"	0.0100182149362477
"142"	"neutrophil"	"bronchial.vessel.endothelial.cell"	0.0097629009762901
"301"	"nampt.neutrophil"	"lung.ciliated.cell"	0.00976181179226865
"4"	"erythrocyte"	"cd8.positive..alpha.beta.t.cell"	0.00975609756097561
"466"	"cd8.positive..alpha.beta.t.cell"	"pulmonary.ionocyte"	0.00968914008881712
"597"	"erythroid.progenitor"	"vein.endothelial.cell"	0.00968054211035818
"75"	"myeloid.progenitor"	"b.cell"	0.00964320154291225
"161"	"cd4.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.00950118764845606
"296"	"macrophage"	"lung.ciliated.cell"	0.00946798917944094
"52"	"erythrocyte"	"alveolar.fibroblast"	0.00944287063267233
"56"	"macrophage"	"alveolar.fibroblast"	0.00943396226415094
"248"	"macrophage"	"endothelial.cell.of.lymphatic.vessel"	0.00940623162845385
"314"	"monocyte"	"lung.microvascular.endothelial.cell"	0.00930232558139535
"560"	"plasma.cell"	"type.i.pneumocyte"	0.0092436974789916
"62"	"neutrophil"	"alveolar.fibroblast"	0.0092378752886836
"480"	"plasma.cell"	"pulmonary.ionocyte"	0.00923206042803189
"136"	"macrophage"	"bronchial.vessel.endothelial.cell"	0.00917431192660551
"50"	"cd8.positive..alpha.beta.t.cell"	"alveolar.fibroblast"	0.00916380297823597
"326"	"granulocyte"	"macrophage"	0.00915032679738562
"165"	"erythroid.progenitor"	"capillary.endothelial.cell"	0.00911002102312544
"607"	"nk.cell"	"vein.endothelial.cell"	0.00909918107370337
"65"	"cd4.positive..alpha.beta.t.cell"	"b.cell"	0.00904159132007233
"30"	"neutrophil"	"cd4.positive..alpha.beta.t.cell"	0.00903342366757001
"106"	"monocyte"	"basophil"	0.00902527075812274
"409"	"memory.b.cell"	"non.classical.monocyte"	0.00899280575539568
"422"	"granulocyte"	"pericyte.cell"	0.00896495517522412
"250"	"monocyte"	"endothelial.cell.of.lymphatic.vessel"	0.00894700619408121
"308"	"erythrocyte"	"lung.microvascular.endothelial.cell"	0.00892857142857143
"99"	"cd24.neutrophil"	"basophil"	0.0089197224975223
"290"	"cd8.positive..alpha.beta.t.cell"	"lung.ciliated.cell"	0.00888681010289991
"344"	"macrophage"	"mesothelial.cell"	0.00887902330743618
"327"	"hematopoietic.stem.cell"	"macrophage"	0.00886917960088692
"122"	"monocyte"	"bronchial.smooth.muscle.cell"	0.00882723833543506
"502"	"granulocyte"	"respiratory.mucous.cell"	0.00879396984924623
"69"	"erythroid.progenitor"	"b.cell"	0.00878734622144113
"104"	"macrophage"	"basophil"	0.0087173100871731
"143"	"nk.cell"	"bronchial.vessel.endothelial.cell"	0.0087073007367716
"264"	"macrophage"	"fibroblast"	0.00865637937523523
"605"	"nampt.neutrophil"	"vein.endothelial.cell"	0.00864553314121038
"415"	"nk.cell"	"non.classical.monocyte"	0.00847457627118644
"342"	"granulocyte"	"mesothelial.cell"	0.00846432889963724
"499"	"cd24.neutrophil"	"respiratory.mucous.cell"	0.00835654596100279
"425"	"memory.b.cell"	"pericyte.cell"	0.00832562442183164
"352"	"plasma.cell"	"mesothelial.cell"	0.00827586206896552
