"Spleen"	"Tongue"	"value"
"239"	"regulatory.t.cell"	"schwann.cell"	0.0124099279423539
"255"	"naive.b.cell"	"tongue.muscle.cell"	0.0120967741935484
"198"	"classical.monocyte"	"pericyte.cell"	0.0119695321001088
"286"	"platelet"	"vein.endothelial.cell"	0.0119118522930316
"41"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.0117647058823529
"201"	"hematopoietic.stem.cell"	"pericyte.cell"	0.0117484450587422
"6"	"classical.monocyte"	"basal.cell"	0.0117130307467057
"12"	"macrophage"	"basal.cell"	0.0116166505324298
"18"	"neutrophil"	"basal.cell"	0.0115190784737221
"240"	"type.i.nk.t.cell"	"schwann.cell"	0.0113544201135442
"43"	"nk.cell"	"capillary.endothelial.cell"	0.01125
"282"	"neutrophil"	"vein.endothelial.cell"	0.0111642743221691
"177"	"hematopoietic.stem.cell"	"keratinocyte"	0.0111022997620936
"118"	"platelet"	"epithelial.cell"	0.0110741971207087
"53"	"cd141.positive.myeloid.dendritic.cell"	"endothelial.cell.of.artery"	0.0109983079526227
"262"	"platelet"	"tongue.muscle.cell"	0.0109318063508589
"39"	"naive.b.cell"	"capillary.endothelial.cell"	0.0108991825613079
"189"	"plasmacytoid.dendritic.cell"	"keratinocyte"	0.0106796116504854
"71"	"regulatory.t.cell"	"endothelial.cell.of.artery"	0.0106761565836299
"110"	"memory.b.cell"	"epithelial.cell"	0.0104166666666667
"175"	"endothelial.cell"	"keratinocyte"	0.0103646833013436
"25"	"cd1c.positive.myeloid.dendritic.cell"	"capillary.endothelial.cell"	0.0102827763496144
"145"	"cd1c.positive.myeloid.dendritic.cell"	"immune.cell"	0.010230179028133
"158"	"memory.b.cell"	"immune.cell"	0.0102145045965271
"229"	"mature.nk.t.cell"	"schwann.cell"	0.010129659643436
"72"	"type.i.nk.t.cell"	"endothelial.cell.of.artery"	0.0100917431192661
"141"	"plasmacytoid.dendritic.cell"	"fibroblast"	0.0100917431192661
"258"	"neutrophil"	"tongue.muscle.cell"	0.0100267379679144
"28"	"cd8.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.00988793671720501
"257"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"tongue.muscle.cell"	0.00988467874794069
"213"	"plasmacytoid.dendritic.cell"	"pericyte.cell"	0.00985221674876847
"215"	"regulatory.t.cell"	"pericyte.cell"	0.00980392156862745
"112"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"epithelial.cell"	0.0097799511002445
"248"	"erythrocyte"	"tongue.muscle.cell"	0.00970873786407767
"91"	"nk.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00967117988394584
"131"	"intermediate.monocyte"	"fibroblast"	0.00967117988394584
"169"	"cd1c.positive.myeloid.dendritic.cell"	"keratinocyte"	0.00953678474114441
"285"	"plasmacytoid.dendritic.cell"	"vein.endothelial.cell"	0.00945626477541371
"245"	"cd141.positive.myeloid.dendritic.cell"	"tongue.muscle.cell"	0.00942126514131898
"85"	"mature.nk.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00918484500574053
"96"	"type.i.nk.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00917431192660551
"21"	"plasmacytoid.dendritic.cell"	"basal.cell"	0.00916496945010183
"270"	"classical.monocyte"	"vein.endothelial.cell"	0.00910746812386157
"176"	"erythrocyte"	"keratinocyte"	0.00910273081924577
"233"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"schwann.cell"	0.00905722519555373
"130"	"innate.lymphoid.cell"	"fibroblast"	0.00903614457831325
"54"	"classical.monocyte"	"endothelial.cell.of.artery"	0.00893582453290008
"246"	"classical.monocyte"	"tongue.muscle.cell"	0.00886075949367089
"121"	"cd1c.positive.myeloid.dendritic.cell"	"fibroblast"	0.00881612090680101
"251"	"intermediate.monocyte"	"tongue.muscle.cell"	0.00872938894277401
"173"	"cd141.positive.myeloid.dendritic.cell"	"keratinocyte"	0.00872093023255814
"212"	"plasma.cell"	"pericyte.cell"	0.00843373493975904
"45"	"plasmacytoid.dendritic.cell"	"capillary.endothelial.cell"	0.00835654596100279
"164"	"plasma.cell"	"immune.cell"	0.00831024930747922
"152"	"erythrocyte"	"immune.cell"	0.00826446280991736
"153"	"hematopoietic.stem.cell"	"immune.cell"	0.00821114369501466
"269"	"cd141.positive.myeloid.dendritic.cell"	"vein.endothelial.cell"	0.00795228628230616
"187"	"nk.cell"	"keratinocyte"	0.0079155672823219
"111"	"naive.b.cell"	"epithelial.cell"	0.00791139240506329
"68"	"plasma.cell"	"endothelial.cell.of.artery"	0.00789473684210526
"5"	"cd141.positive.myeloid.dendritic.cell"	"basal.cell"	0.00782472613458529
"37"	"mature.nk.t.cell"	"capillary.endothelial.cell"	0.00782472613458529
"108"	"macrophage"	"epithelial.cell"	0.00778967867575463
"188"	"plasma.cell"	"keratinocyte"	0.00777604976671851
"203"	"intermediate.monocyte"	"pericyte.cell"	0.0077319587628866
"253"	"mature.nk.t.cell"	"tongue.muscle.cell"	0.00769230769230769
"65"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00761904761904762
"275"	"intermediate.monocyte"	"vein.endothelial.cell"	0.00758533501896334
"178"	"innate.lymphoid.cell"	"keratinocyte"	0.00746268656716418
"47"	"regulatory.t.cell"	"capillary.endothelial.cell"	0.00740740740740741
"180"	"macrophage"	"keratinocyte"	0.00735970561177553
"1"	"cd1c.positive.myeloid.dendritic.cell"	"basal.cell"	0.00728862973760933
"77"	"cd141.positive.myeloid.dendritic.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00723888314374354
"89"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0072202166064982
"272"	"erythrocyte"	"vein.endothelial.cell"	0.00683760683760684
"38"	"memory.b.cell"	"capillary.endothelial.cell"	0.0068259385665529
"29"	"cd141.positive.myeloid.dendritic.cell"	"capillary.endothelial.cell"	0.00681198910081744
"174"	"classical.monocyte"	"keratinocyte"	0.00679347826086957
"165"	"plasmacytoid.dendritic.cell"	"immune.cell"	0.00677966101694915
"10"	"innate.lymphoid.cell"	"basal.cell"	0.00674915635545557
"62"	"memory.b.cell"	"endothelial.cell.of.artery"	0.00673724735322425
"125"	"cd141.positive.myeloid.dendritic.cell"	"fibroblast"	0.00667556742323097
"134"	"memory.b.cell"	"fibroblast"	0.00665557404326123
"196"	"cd8.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00660660660660661
"92"	"plasma.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00650759219088937
"193"	"cd1c.positive.myeloid.dendritic.cell"	"pericyte.cell"	0.00649350649350649
"273"	"hematopoietic.stem.cell"	"vein.endothelial.cell"	0.00647548566142461
"191"	"regulatory.t.cell"	"keratinocyte"	0.0063391442155309
"139"	"nk.cell"	"fibroblast"	0.00610500610500611
"14"	"memory.b.cell"	"basal.cell"	0.00609756097560976
"86"	"memory.b.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00609756097560976
"113"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"epithelial.cell"	0.00607287449392713
"136"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"fibroblast"	0.00566037735849057
"104"	"erythrocyte"	"epithelial.cell"	0.00561797752808989
"278"	"memory.b.cell"	"vein.endothelial.cell"	0.00561797752808989
"13"	"mature.nk.t.cell"	"basal.cell"	0.00549450549450549
"265"	"cd1c.positive.myeloid.dendritic.cell"	"vein.endothelial.cell"	0.00544464609800363
"209"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00539083557951483
"135"	"naive.b.cell"	"fibroblast"	0.00531208499335989
"114"	"neutrophil"	"epithelial.cell"	0.00504322766570605
"20"	"plasma.cell"	"basal.cell"	0.00504201680672269
"230"	"memory.b.cell"	"schwann.cell"	0.00494437577255871
"128"	"erythrocyte"	"fibroblast"	0.00480769230769231
"48"	"type.i.nk.t.cell"	"capillary.endothelial.cell"	0.00467289719626168
"15"	"naive.b.cell"	"basal.cell"	0.0046583850931677
"264"	"type.i.nk.t.cell"	"tongue.muscle.cell"	0.00459418070444104
"287"	"regulatory.t.cell"	"vein.endothelial.cell"	0.00448430493273543
"102"	"classical.monocyte"	"epithelial.cell"	0.00442477876106195
"107"	"intermediate.monocyte"	"epithelial.cell"	0.00434782608695652
"143"	"regulatory.t.cell"	"fibroblast"	0.00433526011560694
"183"	"naive.b.cell"	"keratinocyte"	0.00432276657060519
"140"	"plasma.cell"	"fibroblast"	0.00425531914893617
"184"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"keratinocyte"	0.00424628450106157
"19"	"nk.cell"	"basal.cell"	0.00421940928270042
"74"	"cd4.positive..alpha.beta.memory.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00417246175243394
"26"	"cd4.positive..alpha.beta.memory.t.cell"	"capillary.endothelial.cell"	0.00412371134020619
"279"	"naive.b.cell"	"vein.endothelial.cell"	0.00393700787401575
"124"	"cd8.positive..alpha.beta.t.cell"	"fibroblast"	0.00389357560025957
"40"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.00387596899224806
"205"	"mature.nk.t.cell"	"pericyte.cell"	0.00382165605095541
"61"	"mature.nk.t.cell"	"endothelial.cell.of.artery"	0.00364963503649635
"185"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"keratinocyte"	0.0036036036036036
"280"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0.00350877192982456
"23"	"regulatory.t.cell"	"basal.cell"	0.00343053173241852
"181"	"mature.nk.t.cell"	"keratinocyte"	0.0033500837520938
"192"	"type.i.nk.t.cell"	"keratinocyte"	0.00334448160535117
"194"	"cd4.positive..alpha.beta.memory.t.cell"	"pericyte.cell"	0.00317965023847377
"64"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00308959835221421
"268"	"cd8.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0.00308641975308642
"144"	"type.i.nk.t.cell"	"fibroblast"	0.00303951367781155
"208"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00303030303030303
"232"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"schwann.cell"	0.00296610169491525
"44"	"plasma.cell"	"capillary.endothelial.cell"	0.00289435600578871
"115"	"nk.cell"	"epithelial.cell"	0.00284900284900285
"260"	"plasma.cell"	"tongue.muscle.cell"	0.00284900284900285
"281"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0.002710027100271
"88"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00266311584553928
"218"	"cd4.positive..alpha.beta.memory.t.cell"	"schwann.cell"	0.00257510729613734
"216"	"type.i.nk.t.cell"	"pericyte.cell"	0.00254129606099111
"277"	"mature.nk.t.cell"	"vein.endothelial.cell"	0.0024330900243309
"16"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"basal.cell"	0.0023696682464455
"170"	"cd4.positive..alpha.beta.memory.t.cell"	"keratinocyte"	0.00226757369614512
"284"	"plasma.cell"	"vein.endothelial.cell"	0.00217391304347826
"50"	"cd4.positive..alpha.beta.memory.t.cell"	"endothelial.cell.of.artery"	0.00212539851222104
"243"	"cd8.positive..alpha.beta.memory.t.cell"	"tongue.muscle.cell"	0.00209205020920502
"242"	"cd4.positive..alpha.beta.memory.t.cell"	"tongue.muscle.cell"	0.00201207243460765
