"Tongue"	"Skeletal muscle"	"value"
"86"	"capillary.endothelial.cell"	"fast.muscle.cell"	0.0062992125984252
"160"	"endothelial.cell.of.lymphatic.vessel"	"pericyte.cell"	0.00627615062761506
"121"	"basal.cell"	"mature.nk.t.cell"	0.00626959247648903
"108"	"vein.endothelial.cell"	"macrophage"	0.00602928509905254
"25"	"basal.cell"	"cd8.positive..alpha.beta.t.cell"	0.00602409638554217
"14"	"capillary.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00601503759398496
"91"	"immune.cell"	"fast.muscle.cell"	0.00599880023995201
"85"	"basal.cell"	"fast.muscle.cell"	0.00595238095238095
"82"	"schwann.cell"	"erythrocyte"	0.0059447983014862
"42"	"fibroblast"	"endothelial.cell.of.artery"	0.00564971751412429
"16"	"endothelial.cell.of.lymphatic.vessel"	"cd4.positive..alpha.beta.t.cell"	0.00556173526140156
"200"	"keratinocyte"	"smooth.muscle.cell"	0.00549450549450549
"90"	"fibroblast"	"fast.muscle.cell"	0.00544323483670296
"221"	"epithelial.cell"	"tendon.cell"	0.00536912751677852
"129"	"pericyte.cell"	"mature.nk.t.cell"	0.00528052805280528
"187"	"immune.cell"	"slow.muscle.cell"	0.00515729757607014
"45"	"pericyte.cell"	"endothelial.cell.of.artery"	0.00503778337531486
"144"	"vein.endothelial.cell"	"mesenchymal.stem.cell"	0.00500834724540901
"107"	"tongue.muscle.cell"	"macrophage"	0.00498575498575499
"208"	"endothelial.cell.of.lymphatic.vessel"	"t.cell"	0.00483870967741936
"151"	"immune.cell"	"mesothelial.cell"	0.00481058328322309
"170"	"capillary.endothelial.cell"	"skeletal.muscle.satellite.stem.cell"	0.00475624256837099
"218"	"capillary.endothelial.cell"	"tendon.cell"	0.00470588235294118
"101"	"epithelial.cell"	"macrophage"	0.00465477114041893
"171"	"endothelial.cell.of.artery"	"skeletal.muscle.satellite.stem.cell"	0.00463320463320463
"192"	"vein.endothelial.cell"	"slow.muscle.cell"	0.00457317073170732
"9"	"pericyte.cell"	"capillary.endothelial.cell"	0.00438212094653812
"126"	"fibroblast"	"mature.nk.t.cell"	0.00432276657060519
"212"	"keratinocyte"	"t.cell"	0.00415800415800416
"75"	"endothelial.cell.of.artery"	"erythrocyte"	0.00411522633744856
"173"	"epithelial.cell"	"skeletal.muscle.satellite.stem.cell"	0.00407055630936228
"168"	"vein.endothelial.cell"	"pericyte.cell"	0.00405679513184584
"28"	"endothelial.cell.of.lymphatic.vessel"	"cd8.positive..alpha.beta.t.cell"	0.00402414486921529
"11"	"tongue.muscle.cell"	"capillary.endothelial.cell"	0.00396432111000991
"197"	"epithelial.cell"	"smooth.muscle.cell"	0.00386847195357834
"74"	"capillary.endothelial.cell"	"erythrocyte"	0.00386100386100386
"186"	"fibroblast"	"slow.muscle.cell"	0.00384862091084028
"96"	"vein.endothelial.cell"	"fast.muscle.cell"	0.00383877159309021
"36"	"vein.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00378071833648393
"213"	"pericyte.cell"	"t.cell"	0.00347523892267593
"66"	"fibroblast"	"endothelial.cell.of.vascular.tree"	0.00342465753424658
"1"	"basal.cell"	"capillary.endothelial.cell"	0.00331858407079646
"69"	"pericyte.cell"	"endothelial.cell.of.vascular.tree"	0.00298507462686567
"6"	"fibroblast"	"capillary.endothelial.cell"	0.0029585798816568
"59"	"tongue.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00293255131964809
"32"	"keratinocyte"	"cd8.positive..alpha.beta.t.cell"	0.00279329608938547
"65"	"epithelial.cell"	"endothelial.cell.of.vascular.tree"	0.00264200792602378
"26"	"capillary.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.0026281208935611
"132"	"vein.endothelial.cell"	"mature.nk.t.cell"	0.00262237762237762
"199"	"immune.cell"	"smooth.muscle.cell"	0.00260078023407022
"176"	"keratinocyte"	"skeletal.muscle.satellite.stem.cell"	0.0025062656641604
"135"	"endothelial.cell.of.artery"	"mesenchymal.stem.cell"	0.00233100233100233
"33"	"pericyte.cell"	"cd8.positive..alpha.beta.t.cell"	0.00220994475138122
"204"	"vein.endothelial.cell"	"smooth.muscle.cell"	0.0022002200220022
"79"	"immune.cell"	"erythrocyte"	0.00218102508178844
"181"	"basal.cell"	"slow.muscle.cell"	0.00206611570247934
"83"	"tongue.muscle.cell"	"erythrocyte"	0.00188679245283019
"78"	"fibroblast"	"erythrocyte"	0.00187265917602996
"17"	"epithelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00177619893428064
"180"	"vein.endothelial.cell"	"skeletal.muscle.satellite.stem.cell"	0.00163398692810458
"81"	"pericyte.cell"	"erythrocyte"	0.00150829562594268
"164"	"keratinocyte"	"pericyte.cell"	0.00146842878120411
"18"	"fibroblast"	"cd4.positive..alpha.beta.t.cell"	0.00146412884333821
"55"	"immune.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00141643059490085
"137"	"epithelial.cell"	"mesenchymal.stem.cell"	0.00137362637362637
"21"	"pericyte.cell"	"cd4.positive..alpha.beta.t.cell"	0.00123152709359606
"71"	"tongue.muscle.cell"	"endothelial.cell.of.vascular.tree"	0.0011441647597254
"5"	"epithelial.cell"	"capillary.endothelial.cell"	0.00111607142857143
"209"	"epithelial.cell"	"t.cell"	0.00110497237569061
"53"	"epithelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0011001100110011
"41"	"epithelial.cell"	"endothelial.cell.of.artery"	0.00105596620908131
"215"	"tongue.muscle.cell"	"t.cell"	0.000979431929480901
"210"	"fibroblast"	"t.cell"	0.000975609756097561
"47"	"tongue.muscle.cell"	"endothelial.cell.of.artery"	0.000940733772342427
"163"	"immune.cell"	"pericyte.cell"	0.000888888888888889
"139"	"immune.cell"	"mesenchymal.stem.cell"	0.000811688311688312
"175"	"immune.cell"	"skeletal.muscle.satellite.stem.cell"	0.00080450522928399
"7"	"immune.cell"	"capillary.endothelial.cell"	0.000714285714285714
"43"	"immune.cell"	"endothelial.cell.of.artery"	0.000689179875947622
"24"	"vein.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0
"30"	"fibroblast"	"cd8.positive..alpha.beta.t.cell"	0
"84"	"vein.endothelial.cell"	"erythrocyte"	0
"157"	"basal.cell"	"pericyte.cell"	0
"161"	"epithelial.cell"	"pericyte.cell"	0
"167"	"tongue.muscle.cell"	"pericyte.cell"	0
"216"	"vein.endothelial.cell"	"t.cell"	0
"223"	"immune.cell"	"tendon.cell"	0
"228"	"vein.endothelial.cell"	"tendon.cell"	0
