"Lung"	"Tongue"	"value"
"133"	"lung.ciliated.cell"	"endothelial.cell.of.lymphatic.vessel"	0.015170151701517
"147"	"serous.cell.of.epithelium.of.bronchus"	"endothelial.cell.of.lymphatic.vessel"	0.0148837209302326
"213"	"myofibroblast.cell"	"fibroblast"	0.0148731408573928
"25"	"nk.cell"	"basal.cell"	0.0147308781869688
"109"	"serous.cell.of.epithelium.of.bronchus"	"endothelial.cell.of.artery"	0.0146945088940449
"360"	"intermediate.monocyte"	"schwann.cell"	0.0146782085058336
"30"	"pulmonary.ionocyte"	"basal.cell"	0.0146699266503667
"33"	"serous.cell.of.epithelium.of.bronchus"	"basal.cell"	0.0146666666666667
"61"	"myofibroblast.cell"	"capillary.endothelial.cell"	0.0145246478873239
"67"	"plasmacytoid.dendritic.cell"	"capillary.endothelial.cell"	0.0145077720207254
"220"	"pulmonary.ionocyte"	"fibroblast"	0.0144362075692548
"399"	"lung.ciliated.cell"	"tongue.muscle.cell"	0.0144144144144144
"157"	"b.cell"	"epithelial.cell"	0.0143884892086331
"134"	"lung.microvascular.endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0143014301430143
"354"	"classical.monocyte"	"schwann.cell"	0.0140470766894457
"405"	"nk.cell"	"tongue.muscle.cell"	0.0138963121325494
"139"	"nk.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0138623326959847
"355"	"club.cell"	"schwann.cell"	0.0137578616352201
"89"	"club.cell"	"endothelial.cell.of.artery"	0.0136752136752137
"320"	"endothelial.cell.of.lymphatic.vessel"	"pericyte.cell"	0.0136017410228509
"113"	"vascular.associated.smooth.muscle.cell"	"endothelial.cell.of.artery"	0.0134099616858238
"122"	"bronchial.smooth.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.013375295043273
"202"	"classical.monocyte"	"fibroblast"	0.013317191283293
"23"	"myofibroblast.cell"	"basal.cell"	0.0132966529115085
"132"	"intermediate.monocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0131086142322097
"263"	"type.i.pneumocyte"	"immune.cell"	0.0130904951622083
"225"	"type.i.pneumocyte"	"fibroblast"	0.0130624092888244
"29"	"plasmacytoid.dendritic.cell"	"basal.cell"	0.0130505709624796
"334"	"pulmonary.ionocyte"	"pericyte.cell"	0.0129918337045286
"150"	"type.ii.pneumocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0129390018484288
"68"	"pulmonary.ionocyte"	"capillary.endothelial.cell"	0.0129310344827586
"84"	"bronchial.smooth.muscle.cell"	"endothelial.cell.of.artery"	0.012751677852349
"226"	"type.ii.pneumocyte"	"fibroblast"	0.0127167630057803
"368"	"non.classical.monocyte"	"schwann.cell"	0.0126825518831668
"118"	"alveolar.fibroblast"	"endothelial.cell.of.lymphatic.vessel"	0.0126582278481013
"121"	"basophil"	"endothelial.cell.of.lymphatic.vessel"	0.0125725338491296
"417"	"vascular.associated.smooth.muscle.cell"	"tongue.muscle.cell"	0.0124113475177305
"328"	"neutrophil"	"pericyte.cell"	0.012396694214876
"251"	"myofibroblast.cell"	"immune.cell"	0.0123549232497192
"24"	"neutrophil"	"basal.cell"	0.0123456790123457
"65"	"pericyte.cell"	"capillary.endothelial.cell"	0.0123171670515781
"387"	"basophil"	"tongue.muscle.cell"	0.01230012300123
"203"	"club.cell"	"fibroblast"	0.0122282608695652
"315"	"capillary.endothelial.cell"	"pericyte.cell"	0.0121852152721365
"154"	"cd4.positive..alpha.beta.t.cell"	"epithelial.cell"	0.0121580547112462
"185"	"serous.cell.of.epithelium.of.bronchus"	"epithelial.cell"	0.0121293800539084
"256"	"plasma.cell"	"immune.cell"	0.012035010940919
"314"	"capillary.aerocyte"	"pericyte.cell"	0.0119808306709265
"413"	"serous.cell.of.epithelium.of.bronchus"	"tongue.muscle.cell"	0.0116686114352392
"343"	"cd8.positive..alpha.beta.t.cell"	"schwann.cell"	0.0116448326055313
"75"	"vascular.associated.smooth.muscle.cell"	"capillary.endothelial.cell"	0.0116279069767442
"348"	"basal.cell"	"schwann.cell"	0.0115696104897802
"200"	"capillary.aerocyte"	"fibroblast"	0.0115555555555556
"333"	"plasmacytoid.dendritic.cell"	"pericyte.cell"	0.0115495668912416
"112"	"type.ii.pneumocyte"	"endothelial.cell.of.artery"	0.0115207373271889
"216"	"non.classical.monocyte"	"fibroblast"	0.0113636363636364
"108"	"respiratory.mucous.cell"	"endothelial.cell.of.artery"	0.0113550340651022
"442"	"neutrophil"	"vein.endothelial.cell"	0.0113293051359517
"45"	"basophil"	"capillary.endothelial.cell"	0.0112079701120797
"81"	"b.cell"	"endothelial.cell.of.artery"	0.0111821086261981
"12"	"classical.monocyte"	"basal.cell"	0.0111265646731572
"357"	"endothelial.cell.of.artery"	"schwann.cell"	0.0110714285714286
"323"	"lung.ciliated.cell"	"pericyte.cell"	0.0110216193302247
"393"	"club.cell"	"tongue.muscle.cell"	0.0109140518417462
"404"	"neutrophil"	"tongue.muscle.cell"	0.0108626198083067
"214"	"neutrophil"	"fibroblast"	0.0108349267049076
"209"	"lung.ciliated.cell"	"fibroblast"	0.010752688172043
"90"	"dendritic.cell"	"endothelial.cell.of.artery"	0.0107084019769358
"188"	"type.ii.pneumocyte"	"epithelial.cell"	0.0106951871657754
"34"	"smooth.muscle.cell"	"basal.cell"	0.0106707317073171
"273"	"basophil"	"keratinocyte"	0.0105401844532279
"416"	"type.ii.pneumocyte"	"tongue.muscle.cell"	0.0104287369640788
"171"	"lung.ciliated.cell"	"epithelial.cell"	0.010406811731315
"57"	"lung.ciliated.cell"	"capillary.endothelial.cell"	0.0103697024346258
"26"	"non.classical.monocyte"	"basal.cell"	0.010233918128655
"177"	"nk.cell"	"epithelial.cell"	0.0102098695405559
"222"	"respiratory.mucous.cell"	"fibroblast"	0.0101580135440181
"431"	"club.cell"	"vein.endothelial.cell"	0.0101419878296146
"337"	"serous.cell.of.epithelium.of.bronchus"	"pericyte.cell"	0.0101010101010101
"94"	"intermediate.monocyte"	"endothelial.cell.of.artery"	0.010077519379845
"284"	"intermediate.monocyte"	"keratinocyte"	0.0100755667506297
"128"	"dendritic.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0100401606425703
"295"	"plasmacytoid.dendritic.cell"	"keratinocyte"	0.0100316789862724
"9"	"bronchial.vessel.endothelial.cell"	"basal.cell"	0.0100300902708124
"353"	"capillary.endothelial.cell"	"schwann.cell"	0.00992470910335387
"17"	"fibroblast"	"basal.cell"	0.00975800156128025
