"Bone marrow"	"Spleen"	"value"
"118"	"granulocyte"	"erythrocyte"	0.00813008130081301
"47"	"nk.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.00809248554913295
"84"	"erythrocyte"	"classical.monocyte"	0.00792751981879955
"324"	"erythrocyte"	"plasmacytoid.dendritic.cell"	0.00762066045723963
"224"	"plasma.cell"	"memory.b.cell"	0.00737100737100737
"148"	"erythrocyte"	"innate.lymphoid.cell"	0.00736648250460405
"80"	"plasma.cell"	"cd141.positive.myeloid.dendritic.cell"	0.00720720720720721
"235"	"myeloid.progenitor"	"naive.b.cell"	0.00720164609053498
"228"	"erythrocyte"	"naive.b.cell"	0.00714285714285714
"206"	"neutrophil"	"mature.nk.t.cell"	0.00712105798575788
"49"	"cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.00708103855232101
"140"	"naive.b.cell"	"hematopoietic.stem.cell"	0.00697836706210747
"62"	"neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.00697050938337802
"247"	"hematopoietic.stem.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00695652173913044
"295"	"hematopoietic.stem.cell"	"nk.cell"	0.00694444444444444
"276"	"erythrocyte"	"neutrophil"	0.0069052102950408
"297"	"memory.b.cell"	"nk.cell"	0.00689655172413793
"366"	"neutrophil"	"regulatory.t.cell"	0.00686947988223749
"359"	"hematopoietic.stem.cell"	"regulatory.t.cell"	0.00679347826086957
"178"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.00667302192564347
"138"	"monocyte"	"hematopoietic.stem.cell"	0.00660377358490566
"69"	"erythroid.progenitor"	"cd141.positive.myeloid.dendritic.cell"	0.00654205607476636
"345"	"memory.b.cell"	"platelet"	0.00648967551622419
"333"	"nampt.neutrophil"	"plasmacytoid.dendritic.cell"	0.00632911392405063
"334"	"neutrophil"	"plasmacytoid.dendritic.cell"	0.00632466619817287
"192"	"plasma.cell"	"macrophage"	0.00628930817610063
"231"	"hematopoietic.stem.cell"	"naive.b.cell"	0.006265664160401
"323"	"cd24.neutrophil"	"plasmacytoid.dendritic.cell"	0.00623052959501558
"97"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell"	0.00622406639004149
"215"	"hematopoietic.stem.cell"	"memory.b.cell"	0.00618238021638331
"301"	"nampt.neutrophil"	"nk.cell"	0.00610287707061901
"302"	"neutrophil"	"nk.cell"	0.00609756097560976
"3"	"cd24.neutrophil"	"cd1c.positive.myeloid.dendritic.cell"	0.00608519269776876
"321"	"cd4.positive..alpha.beta.t.cell"	"plasmacytoid.dendritic.cell"	0.0060313630880579
"68"	"erythrocyte"	"cd141.positive.myeloid.dendritic.cell"	0.00596658711217184
"91"	"myeloid.progenitor"	"classical.monocyte"	0.00589970501474926
"168"	"macrophage"	"intermediate.monocyte"	0.00587659157688541
"143"	"nk.cell"	"hematopoietic.stem.cell"	0.0058343057176196
