"Spleen"	"Trachea"	"value"
"53"	"cd141.positive.myeloid.dendritic.cell"	"basal.cell"	0.0161290322580645
"409"	"cd1c.positive.myeloid.dendritic.cell"	"serous.cell.of.epithelium.of.trachea"	0.0160550458715596
"430"	"platelet"	"serous.cell.of.epithelium.of.trachea"	0.016008004002001
"165"	"plasmacytoid.dendritic.cell"	"connective.tissue.cell"	0.0159857904085258
"89"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0157657657657658
"82"	"innate.lymphoid.cell"	"cd4.positive..alpha.beta.t.cell"	0.0157384987893462
"460"	"cd8.positive..alpha.beta.t.cell"	"t.cell"	0.0156636438582028
"141"	"plasmacytoid.dendritic.cell"	"ciliated.cell"	0.0156128024980484
"7"	"endothelial.cell"	"goblet.cell"	0.0155159038013964
"1"	"cd1c.positive.myeloid.dendritic.cell"	"goblet.cell"	0.0153631284916201
"131"	"intermediate.monocyte"	"ciliated.cell"	0.0151575588352613
"60"	"macrophage"	"basal.cell"	0.0150316455696203
"453"	"plasmacytoid.dendritic.cell"	"smooth.muscle.cell"	0.014948859166011
"5"	"cd141.positive.myeloid.dendritic.cell"	"goblet.cell"	0.0149253731343284
"271"	"endothelial.cell"	"macrophage"	0.0149200710479574
"440"	"erythrocyte"	"smooth.muscle.cell"	0.0148514851485149
"197"	"cd141.positive.myeloid.dendritic.cell"	"endothelial.cell"	0.0147515527950311
"59"	"intermediate.monocyte"	"basal.cell"	0.0147186147186147
"429"	"plasmacytoid.dendritic.cell"	"serous.cell.of.epithelium.of.trachea"	0.0145423438836612
"438"	"classical.monocyte"	"smooth.muscle.cell"	0.014344262295082
"148"	"cd8.positive..alpha.beta.t.cell"	"connective.tissue.cell"	0.0140712945590994
"118"	"platelet"	"cd8.positive..alpha.beta.t.cell"	0.014047866805411
"201"	"hematopoietic.stem.cell"	"endothelial.cell"	0.0139634801288937
"36"	"macrophage"	"b.cell"	0.013953488372093
"334"	"platelet"	"mucus.secreting.cell"	0.0139484978540773
"245"	"cd141.positive.myeloid.dendritic.cell"	"ionocyte"	0.0138084632516704
"442"	"innate.lymphoid.cell"	"smooth.muscle.cell"	0.0135823429541596
"355"	"nk.cell"	"neutrophil"	0.0135644310474755
"341"	"cd141.positive.myeloid.dendritic.cell"	"neutrophil"	0.0135135135135135
"152"	"erythrocyte"	"connective.tissue.cell"	0.013268156424581
"361"	"cd1c.positive.myeloid.dendritic.cell"	"plasma.cell"	0.0132575757575758
"263"	"regulatory.t.cell"	"ionocyte"	0.013254113345521
"112"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0132325141776938
"225"	"hematopoietic.stem.cell"	"fibroblast"	0.0131675201170446
"420"	"macrophage"	"serous.cell.of.epithelium.of.trachea"	0.0130718954248366
"343"	"endothelial.cell"	"neutrophil"	0.0129255989911728
"437"	"cd141.positive.myeloid.dendritic.cell"	"smooth.muscle.cell"	0.0128893662728249
"42"	"neutrophil"	"b.cell"	0.0125698324022346
"11"	"intermediate.monocyte"	"goblet.cell"	0.0125260960334029
"211"	"nk.cell"	"endothelial.cell"	0.0125
"393"	"hematopoietic.stem.cell"	"secretory.cell"	0.0125
"226"	"innate.lymphoid.cell"	"fibroblast"	0.0124760076775432
"162"	"neutrophil"	"connective.tissue.cell"	0.0123574144486692
"69"	"plasmacytoid.dendritic.cell"	"basal.cell"	0.0123558484349259
"311"	"regulatory.t.cell"	"mast.cell"	0.0121359223300971
"416"	"erythrocyte"	"serous.cell.of.epithelium.of.trachea"	0.0120879120879121
"459"	"cd8.positive..alpha.beta.memory.t.cell"	"t.cell"	0.0120481927710843
"43"	"nk.cell"	"b.cell"	0.012
"285"	"plasmacytoid.dendritic.cell"	"macrophage"	0.0119904076738609
"198"	"classical.monocyte"	"endothelial.cell"	0.0119581464872945
"289"	"cd1c.positive.myeloid.dendritic.cell"	"mast.cell"	0.0118406889128095
"32"	"erythrocyte"	"b.cell"	0.0118110236220472
"322"	"innate.lymphoid.cell"	"mucus.secreting.cell"	0.011727078891258
"180"	"macrophage"	"double.positive..alpha.beta.thymocyte"	0.0115526802218115
"56"	"erythrocyte"	"basal.cell"	0.0115424973767051
"145"	"cd1c.positive.myeloid.dendritic.cell"	"connective.tissue.cell"	0.0114285714285714
"46"	"platelet"	"b.cell"	0.0112903225806452
"303"	"naive.b.cell"	"mast.cell"	0.0112866817155756
"149"	"cd141.positive.myeloid.dendritic.cell"	"connective.tissue.cell"	0.0110782865583456
"313"	"cd1c.positive.myeloid.dendritic.cell"	"mucus.secreting.cell"	0.0108548168249661
"40"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"b.cell"	0.0107991360691145
"419"	"intermediate.monocyte"	"serous.cell.of.epithelium.of.trachea"	0.0107430617726052
"58"	"innate.lymphoid.cell"	"basal.cell"	0.0107047279214987
"80"	"erythrocyte"	"cd4.positive..alpha.beta.t.cell"	0.0105580693815988
"330"	"neutrophil"	"mucus.secreting.cell"	0.010387811634349
"81"	"hematopoietic.stem.cell"	"cd4.positive..alpha.beta.t.cell"	0.010371650821089
"234"	"neutrophil"	"fibroblast"	0.0103292446739832
"12"	"macrophage"	"goblet.cell"	0.0102803738317757
"87"	"naive.b.cell"	"cd4.positive..alpha.beta.t.cell"	0.0102564102564103
"384"	"type.i.nk.t.cell"	"plasma.cell"	0.0102564102564103
"283"	"nk.cell"	"macrophage"	0.0102145045965271
"428"	"plasma.cell"	"serous.cell.of.epithelium.of.trachea"	0.0101910828025478
"227"	"intermediate.monocyte"	"fibroblast"	0.0101569713758079
"450"	"neutrophil"	"smooth.muscle.cell"	0.010077059869591
"221"	"cd141.positive.myeloid.dendritic.cell"	"fibroblast"	0.0100502512562814
"325"	"mature.nk.t.cell"	"mucus.secreting.cell"	0.0100502512562814
"139"	"nk.cell"	"ciliated.cell"	0.00999131190269331
"169"	"cd1c.positive.myeloid.dendritic.cell"	"double.positive..alpha.beta.thymocyte"	0.00990643918547056
"174"	"classical.monocyte"	"double.positive..alpha.beta.thymocyte"	0.00990643918547056
"279"	"naive.b.cell"	"macrophage"	0.00985761226725082
"340"	"cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.009765625
"255"	"naive.b.cell"	"ionocyte"	0.00974745237040319
"413"	"cd141.positive.myeloid.dendritic.cell"	"serous.cell.of.epithelium.of.trachea"	0.00962695547533093
"47"	"regulatory.t.cell"	"b.cell"	0.00961538461538462
"388"	"cd8.positive..alpha.beta.t.cell"	"secretory.cell"	0.00957701516360734
"209"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"endothelial.cell"	0.0094909404659189
"217"	"cd1c.positive.myeloid.dendritic.cell"	"fibroblast"	0.00948991696322657
"135"	"naive.b.cell"	"ciliated.cell"	0.00938757264193116
"144"	"type.i.nk.t.cell"	"ciliated.cell"	0.00934142923867352
"8"	"erythrocyte"	"goblet.cell"	0.00927152317880795
"230"	"memory.b.cell"	"fibroblast"	0.00924499229583975
"121"	"cd1c.positive.myeloid.dendritic.cell"	"ciliated.cell"	0.00920648838228847
"331"	"nk.cell"	"mucus.secreting.cell"	0.00919842312746386
"117"	"plasmacytoid.dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.00914076782449726
"455"	"regulatory.t.cell"	"smooth.muscle.cell"	0.0091324200913242
"196"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell"	0.00913022585295531
"414"	"classical.monocyte"	"serous.cell.of.epithelium.of.trachea"	0.00911161731207289
"392"	"erythrocyte"	"secretory.cell"	0.00910746812386157
"320"	"erythrocyte"	"mucus.secreting.cell"	0.00905562742561449
"452"	"plasma.cell"	"smooth.muscle.cell"	0.00899887514060742
"329"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"mucus.secreting.cell"	0.00899280575539568
"451"	"nk.cell"	"smooth.muscle.cell"	0.00896414342629482
"344"	"erythrocyte"	"neutrophil"	0.00892193308550186
"33"	"hematopoietic.stem.cell"	"b.cell"	0.00873709293089754
"188"	"plasma.cell"	"double.positive..alpha.beta.thymocyte"	0.00868558193398958
"93"	"plasmacytoid.dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.00862998921251348
"22"	"platelet"	"goblet.cell"	0.00862068965517241
"389"	"cd141.positive.myeloid.dendritic.cell"	"secretory.cell"	0.00854700854700855
"447"	"naive.b.cell"	"smooth.muscle.cell"	0.00852878464818763
"207"	"naive.b.cell"	"endothelial.cell"	0.00846805234795997
"183"	"naive.b.cell"	"double.positive..alpha.beta.thymocyte"	0.00844594594594595
"6"	"classical.monocyte"	"goblet.cell"	0.00832177531206657
"220"	"cd8.positive..alpha.beta.t.cell"	"fibroblast"	0.00820707070707071
"426"	"neutrophil"	"serous.cell.of.epithelium.of.trachea"	0.00819155639571519
"193"	"cd1c.positive.myeloid.dendritic.cell"	"endothelial.cell"	0.00819061801935964
"96"	"type.i.nk.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.00816326530612245
"309"	"plasmacytoid.dendritic.cell"	"mast.cell"	0.00813008130081301
"421"	"mature.nk.t.cell"	"serous.cell.of.epithelium.of.trachea"	0.00813008130081301
"125"	"cd141.positive.myeloid.dendritic.cell"	"ciliated.cell"	0.00804649083594099
"412"	"cd8.positive..alpha.beta.t.cell"	"serous.cell.of.epithelium.of.trachea"	0.0080296479308215
"63"	"naive.b.cell"	"basal.cell"	0.00797266514806378
"224"	"erythrocyte"	"fibroblast"	0.00796359499431172
"395"	"intermediate.monocyte"	"secretory.cell"	0.00793650793650794
"346"	"innate.lymphoid.cell"	"neutrophil"	0.00792602377807133
"44"	"plasma.cell"	"b.cell"	0.00783699059561128
"143"	"regulatory.t.cell"	"ciliated.cell"	0.007801743919229
"427"	"nk.cell"	"serous.cell.of.epithelium.of.trachea"	0.00776053215077605
"274"	"innate.lymphoid.cell"	"macrophage"	0.00775193798449612
"333"	"plasmacytoid.dendritic.cell"	"mucus.secreting.cell"	0.0077145612343298
"163"	"nk.cell"	"connective.tissue.cell"	0.007703081232493
"61"	"mature.nk.t.cell"	"basal.cell"	0.00768245838668374
"64"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"basal.cell"	0.00762195121951219
"17"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"goblet.cell"	0.00742115027829314
"15"	"naive.b.cell"	"goblet.cell"	0.00737463126843658
"161"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"connective.tissue.cell"	0.00735895339329518
"443"	"intermediate.monocyte"	"smooth.muscle.cell"	0.00735294117647059
"71"	"regulatory.t.cell"	"basal.cell"	0.00734394124847001
"159"	"naive.b.cell"	"connective.tissue.cell"	0.00734214390602056
"213"	"plasmacytoid.dendritic.cell"	"endothelial.cell"	0.00730816077953715
"466"	"innate.lymphoid.cell"	"t.cell"	0.0072992700729927
"317"	"cd141.positive.myeloid.dendritic.cell"	"mucus.secreting.cell"	0.00721500721500722
"104"	"erythrocyte"	"cd8.positive..alpha.beta.t.cell"	0.00720288115246098
"382"	"platelet"	"plasma.cell"	0.00719424460431655
"423"	"naive.b.cell"	"serous.cell.of.epithelium.of.trachea"	0.00717703349282297
"157"	"mature.nk.t.cell"	"connective.tissue.cell"	0.00711462450592885
"229"	"mature.nk.t.cell"	"fibroblast"	0.00710227272727273
"184"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"double.positive..alpha.beta.thymocyte"	0.0070694087403599
"345"	"hematopoietic.stem.cell"	"neutrophil"	0.00705371676614216
"383"	"regulatory.t.cell"	"plasma.cell"	0.00704225352112676
"287"	"regulatory.t.cell"	"macrophage"	0.00702576112412178
"126"	"classical.monocyte"	"ciliated.cell"	0.00699912510936133
"18"	"neutrophil"	"goblet.cell"	0.00698812019566737
"253"	"mature.nk.t.cell"	"ionocyte"	0.00692520775623269
"13"	"mature.nk.t.cell"	"goblet.cell"	0.00688468158347676
"62"	"memory.b.cell"	"basal.cell"	0.00686813186813187
"357"	"plasmacytoid.dendritic.cell"	"neutrophil"	0.00682805710738672
"370"	"innate.lymphoid.cell"	"plasma.cell"	0.00681198910081744
"94"	"platelet"	"cd4.positive..alpha.beta.t.cell"	0.00678733031674208
"302"	"memory.b.cell"	"mast.cell"	0.006765899864682
"318"	"classical.monocyte"	"mucus.secreting.cell"	0.00675675675675676
"205"	"mature.nk.t.cell"	"endothelial.cell"	0.00664451827242525
