"Trachea"	"Spleen"	"value"
"6"	"ciliated.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.00920648838228847
"374"	"mucus.secreting.cell"	"nk.cell"	0.00919842312746386
"405"	"cd8.positive..alpha.beta.t.cell"	"plasmacytoid.dendritic.cell"	0.00914076782449726
"459"	"smooth.muscle.cell"	"regulatory.t.cell"	0.0091324200913242
"69"	"endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00913022585295531
"118"	"serous.cell.of.epithelium.of.trachea"	"classical.monocyte"	0.00911161731207289
"157"	"secretory.cell"	"erythrocyte"	0.00910746812386157
"154"	"mucus.secreting.cell"	"erythrocyte"	0.00905562742561449
"399"	"smooth.muscle.cell"	"plasma.cell"	0.00899887514060742
"334"	"mucus.secreting.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00899280575539568
"379"	"smooth.muscle.cell"	"nk.cell"	0.00896414342629482
"155"	"neutrophil"	"erythrocyte"	0.00892193308550186
"162"	"b.cell"	"hematopoietic.stem.cell"	0.00873709293089754
"388"	"double.positive..alpha.beta.thymocyte"	"plasma.cell"	0.00868558193398958
"404"	"cd4.positive..alpha.beta.t.cell"	"plasmacytoid.dendritic.cell"	0.00862998921251348
"421"	"goblet.cell"	"platelet"	0.00862068965517241
"97"	"secretory.cell"	"cd141.positive.myeloid.dendritic.cell"	0.00854700854700855
"299"	"smooth.muscle.cell"	"naive.b.cell"	0.00852878464818763
"289"	"endothelial.cell"	"naive.b.cell"	0.00846805234795997
"288"	"double.positive..alpha.beta.thymocyte"	"naive.b.cell"	0.00844594594594595
"101"	"goblet.cell"	"classical.monocyte"	0.00832177531206657
"70"	"fibroblast"	"cd8.positive..alpha.beta.t.cell"	0.00820707070707071
"358"	"serous.cell.of.epithelium.of.trachea"	"neutrophil"	0.00819155639571519
"9"	"endothelial.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.00819061801935964
"464"	"cd4.positive..alpha.beta.t.cell"	"type.i.nk.t.cell"	0.00816326530612245
"258"	"serous.cell.of.epithelium.of.trachea"	"mature.nk.t.cell"	0.00813008130081301
