"Skeletal muscle"	"Spleen"	"value"
"110"	"skeletal.muscle.satellite.stem.cell"	"classical.monocyte"	0.0132450331125828
"22"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.0131926121372032
"389"	"macrophage"	"plasmacytoid.dendritic.cell"	0.0131332082551595
"193"	"cd8.positive..alpha.beta.t.cell"	"intermediate.monocyte"	0.0131291028446389
"157"	"endothelial.cell.of.lymphatic.vessel"	"hematopoietic.stem.cell"	0.0131034482758621
"205"	"skeletal.muscle.satellite.stem.cell"	"intermediate.monocyte"	0.0130653266331658
"369"	"fast.muscle.cell"	"plasma.cell"	0.0128322639780018
"92"	"slow.muscle.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0128113879003559
"172"	"capillary.endothelial.cell"	"innate.lymphoid.cell"	0.012589928057554
"152"	"tendon.cell"	"erythrocyte"	0.0125156445556946
"271"	"endothelial.cell.of.lymphatic.vessel"	"naive.b.cell"	0.0125
"179"	"fast.muscle.cell"	"innate.lymphoid.cell"	0.0122743682310469
"331"	"fast.muscle.cell"	"neutrophil"	0.0121757543673902
"238"	"mast.cell"	"mature.nk.t.cell"	0.0119047619047619
"143"	"mast.cell"	"erythrocyte"	0.0118289353958144
"343"	"capillary.endothelial.cell"	"nk.cell"	0.0117773019271949
"338"	"skeletal.muscle.satellite.stem.cell"	"neutrophil"	0.0116279069767442
"435"	"smooth.muscle.cell"	"regulatory.t.cell"	0.0116279069767442
"402"	"cd8.positive..alpha.beta.t.cell"	"platelet"	0.0116214720531267
"101"	"endothelial.cell.of.vascular.tree"	"classical.monocyte"	0.0116129032258065
"77"	"capillary.endothelial.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0115606936416185
"267"	"capillary.endothelial.cell"	"naive.b.cell"	0.0115207373271889
"88"	"mesenchymal.stem.cell"	"cd141.positive.myeloid.dendritic.cell"	0.011444921316166
"99"	"endothelial.cell.of.artery"	"classical.monocyte"	0.0114345114345114
"395"	"skeletal.muscle.satellite.stem.cell"	"plasmacytoid.dendritic.cell"	0.0113960113960114
"243"	"skeletal.muscle.satellite.stem.cell"	"mature.nk.t.cell"	0.0113636363636364
"281"	"skeletal.muscle.satellite.stem.cell"	"naive.b.cell"	0.0112201963534362
"359"	"smooth.muscle.cell"	"nk.cell"	0.0111731843575419
"260"	"mesothelial.cell"	"memory.b.cell"	0.0111675126903553
"414"	"skeletal.muscle.satellite.stem.cell"	"platelet"	0.0111169931180519
"220"	"mature.nk.t.cell"	"macrophage"	0.0110091743119266
"423"	"endothelial.cell.of.lymphatic.vessel"	"regulatory.t.cell"	0.0109756097560976
"305"	"capillary.endothelial.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.010958904109589
"62"	"endothelial.cell.of.lymphatic.vessel"	"cd8.positive..alpha.beta.t.cell"	0.010823812387252
"433"	"skeletal.muscle.satellite.stem.cell"	"regulatory.t.cell"	0.0107361963190184
"89"	"mesothelial.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0105913503971756
"279"	"mesothelial.cell"	"naive.b.cell"	0.0105633802816901
"347"	"endothelial.cell.of.lymphatic.vessel"	"nk.cell"	0.0105485232067511
"84"	"fast.muscle.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0105355575065847
"401"	"cd4.positive..alpha.beta.t.cell"	"platelet"	0.0104895104895105
"19"	"tendon.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.010443864229765
"383"	"cd8.positive..alpha.beta.t.cell"	"plasmacytoid.dendritic.cell"	0.0102774922918808
"431"	"mesothelial.cell"	"regulatory.t.cell"	0.0102325581395349
"361"	"tendon.cell"	"nk.cell"	0.0101394169835234
"106"	"mature.nk.t.cell"	"classical.monocyte"	0.0101088646967341
"90"	"pericyte.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0101010101010101
"148"	"skeletal.muscle.satellite.stem.cell"	"erythrocyte"	0.0101010101010101
"136"	"cd8.positive..alpha.beta.t.cell"	"erythrocyte"	0.00984528832630099
"398"	"t.cell"	"plasmacytoid.dendritic.cell"	0.00984413453650533
"270"	"endothelial.cell.of.artery"	"naive.b.cell"	0.00978260869565217
"100"	"endothelial.cell.of.lymphatic.vessel"	"classical.monocyte"	0.00971922246220302
"153"	"capillary.endothelial.cell"	"hematopoietic.stem.cell"	0.00970873786407767
"337"	"pericyte.cell"	"neutrophil"	0.00964391691394659
"428"	"mast.cell"	"regulatory.t.cell"	0.00935550935550936
"430"	"mesenchymal.stem.cell"	"regulatory.t.cell"	0.00934579439252336
"386"	"endothelial.cell.of.vascular.tree"	"plasmacytoid.dendritic.cell"	0.00931098696461825
"76"	"tendon.cell"	"cd8.positive..alpha.beta.t.cell"	0.00929614873837981
"103"	"fast.muscle.cell"	"classical.monocyte"	0.0092670598146588
"257"	"mast.cell"	"memory.b.cell"	0.00916380297823597
"94"	"t.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0091324200913242
"202"	"mesenchymal.stem.cell"	"intermediate.monocyte"	0.00910931174089069
"375"	"pericyte.cell"	"plasma.cell"	0.00910746812386157
"259"	"mesenchymal.stem.cell"	"memory.b.cell"	0.00904159132007233
"6"	"endothelial.cell.of.vascular.tree"	"cd1c.positive.myeloid.dendritic.cell"	0.00900900900900901
"154"	"cd4.positive..alpha.beta.t.cell"	"hematopoietic.stem.cell"	0.00898472596585804
"424"	"endothelial.cell.of.vascular.tree"	"regulatory.t.cell"	0.00892857142857143
"111"	"slow.muscle.cell"	"classical.monocyte"	0.00892244337680165
"406"	"erythrocyte"	"platelet"	0.00891152132399745
"3"	"cd8.positive..alpha.beta.t.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.00886262924667651
"367"	"endothelial.cell.of.vascular.tree"	"plasma.cell"	0.00875912408759124
"319"	"skeletal.muscle.satellite.stem.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00868055555555556
"139"	"endothelial.cell.of.vascular.tree"	"erythrocyte"	0.00862068965517241
"285"	"tendon.cell"	"naive.b.cell"	0.00828729281767956
"250"	"cd8.positive..alpha.beta.t.cell"	"memory.b.cell"	0.0082815734989648
"170"	"t.cell"	"hematopoietic.stem.cell"	0.00825877494838266
"344"	"cd4.positive..alpha.beta.t.cell"	"nk.cell"	0.00823723228995058
"385"	"endothelial.cell.of.lymphatic.vessel"	"plasmacytoid.dendritic.cell"	0.00816326530612245
