"Lung"	"Skeletal muscle"	"value"
"462"	"basal.cell"	"mesothelial.cell"	0.0243055555555556
"663"	"fibroblast"	"t.cell"	0.0242753623188406
"717"	"serous.cell.of.epithelium.of.bronchus"	"tendon.cell"	0.0242718446601942
"535"	"adventitial.cell"	"skeletal.muscle.satellite.stem.cell"	0.0242290748898678
"555"	"myofibroblast.cell"	"skeletal.muscle.satellite.stem.cell"	0.0242152466367713
"27"	"pericyte.cell"	"capillary.endothelial.cell"	0.0239943542695836
"612"	"alveolar.fibroblast"	"smooth.muscle.cell"	0.0239076669414674
"707"	"myofibroblast.cell"	"tendon.cell"	0.0236607142857143
"130"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell.of.artery"	0.0236305048335124
"627"	"lung.ciliated.cell"	"smooth.muscle.cell"	0.0235772357723577
"361"	"lung.ciliated.cell"	"mast.cell"	0.0234438156831043
"299"	"serous.cell.of.epithelium.of.bronchus"	"fast.muscle.cell"	0.0234059725585149
"592"	"mesothelial.cell"	"slow.muscle.cell"	0.0230917254650417
"488"	"respiratory.mucous.cell"	"mesothelial.cell"	0.0230708035003978
"549"	"fibroblast"	"skeletal.muscle.satellite.stem.cell"	0.0230680507497117
"465"	"bronchial.vessel.endothelial.cell"	"mesothelial.cell"	0.0230664857530529
"282"	"endothelial.cell.of.lymphatic.vessel"	"fast.muscle.cell"	0.0230436869899184
"100"	"neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.0229965156794425
"392"	"classical.monocyte"	"mature.nk.t.cell"	0.0229885057471264
"161"	"bronchial.vessel.endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0228945216680294
"643"	"type.i.pneumocyte"	"smooth.muscle.cell"	0.0228254164096237
"283"	"fibroblast"	"fast.muscle.cell"	0.0228099173553719
"453"	"type.i.pneumocyte"	"mesenchymal.stem.cell"	0.021969696969697
"171"	"lung.ciliated.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0218041898247114
"141"	"pericyte.cell"	"endothelial.cell.of.artery"	0.0217687074829932
"320"	"endothelial.cell.of.lymphatic.vessel"	"macrophage"	0.0217687074829932
