"Lung"	"Skeletal muscle"	"value"
"142"	"plasma.cell"	"endothelial.cell.of.artery"	0
"153"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0
"218"	"plasma.cell"	"endothelial.cell.of.vascular.tree"	0
"239"	"capillary.endothelial.cell"	"erythrocyte"	0
"242"	"dendritic.cell"	"erythrocyte"	0
"248"	"lung.microvascular.endothelial.cell"	"erythrocyte"	0
"260"	"respiratory.mucous.cell"	"erythrocyte"	0
"266"	"vein.endothelial.cell"	"erythrocyte"	0
"420"	"cd4.positive..alpha.beta.t.cell"	"mesenchymal.stem.cell"	0
"499"	"b.cell"	"pericyte.cell"	0
"500"	"basal.cell"	"pericyte.cell"	0
"560"	"plasma.cell"	"skeletal.muscle.satellite.stem.cell"	0
"609"	"cd8.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0
"610"	"cd4.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0
"685"	"cd8.positive..alpha.beta.t.cell"	"tendon.cell"	0
"686"	"cd4.positive..alpha.beta.t.cell"	"tendon.cell"	0
"702"	"intermediate.monocyte"	"tendon.cell"	0
