"Tongue"	"Bone marrow"	"value"
"4"	"endothelial.cell.of.lymphatic.vessel"	"cd4.positive..alpha.beta.t.cell"	0.00592417061611374
"182"	"capillary.endothelial.cell"	"plasma.cell"	0.00586510263929619
"1"	"basal.cell"	"cd4.positive..alpha.beta.t.cell"	0.00581395348837209
"41"	"epithelial.cell"	"erythrocyte"	0.00581395348837209
"54"	"fibroblast"	"erythroid.progenitor"	0.00577557755775578
"10"	"schwann.cell"	"cd4.positive..alpha.beta.t.cell"	0.00571661902817477
"133"	"basal.cell"	"naive.b.cell"	0.00562429696287964
"97"	"basal.cell"	"memory.b.cell"	0.00552486187845304
"48"	"vein.endothelial.cell"	"erythrocyte"	0.00544959128065395
"12"	"vein.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00526315789473684
"55"	"immune.cell"	"erythroid.progenitor"	0.00501567398119122
"176"	"keratinocyte"	"nk.cell"	0.00492206726825267
"98"	"capillary.endothelial.cell"	"memory.b.cell"	0.00470219435736677
"188"	"keratinocyte"	"plasma.cell"	0.00470219435736677
"35"	"tongue.muscle.cell"	"cd24.neutrophil"	0.00463821892393321
"102"	"fibroblast"	"memory.b.cell"	0.00459418070444104
"17"	"epithelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00445103857566766
"21"	"pericyte.cell"	"cd8.positive..alpha.beta.t.cell"	0.00433839479392625
"169"	"basal.cell"	"nk.cell"	0.00427350427350427
"140"	"keratinocyte"	"naive.b.cell"	0.00425531914893617
"20"	"keratinocyte"	"cd8.positive..alpha.beta.t.cell"	0.00408719346049046
"113"	"epithelial.cell"	"monocyte"	0.00395256916996047
"109"	"basal.cell"	"monocyte"	0.00387596899224806
"18"	"fibroblast"	"cd8.positive..alpha.beta.t.cell"	0.00377833753148615
"71"	"tongue.muscle.cell"	"granulocyte"	0.00376411543287327
"24"	"vein.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00364963503649635
"161"	"epithelial.cell"	"neutrophil"	0.00362647325475975
"72"	"vein.endothelial.cell"	"granulocyte"	0.0036036036036036
"8"	"keratinocyte"	"cd4.positive..alpha.beta.t.cell"	0.00352733686067019
"137"	"epithelial.cell"	"naive.b.cell"	0.00340522133938706
"104"	"keratinocyte"	"memory.b.cell"	0.00336700336700337
"107"	"tongue.muscle.cell"	"memory.b.cell"	0.00307692307692308
"191"	"tongue.muscle.cell"	"plasma.cell"	0.00287769784172662
"149"	"epithelial.cell"	"nampt.neutrophil"	0.00271985494106981
"9"	"pericyte.cell"	"cd4.positive..alpha.beta.t.cell"	0.00264550264550265
"62"	"capillary.endothelial.cell"	"granulocyte"	0.00254129606099111
"192"	"vein.endothelial.cell"	"plasma.cell"	0.0022075055187638
"29"	"epithelial.cell"	"cd24.neutrophil"	0.00207253886010363
"5"	"epithelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00196850393700787
"101"	"epithelial.cell"	"memory.b.cell"	0.00186915887850467
"173"	"epithelial.cell"	"nk.cell"	0.00171969045571797
"13"	"basal.cell"	"cd8.positive..alpha.beta.t.cell"	0.00145772594752187
"23"	"tongue.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.00126262626262626
"116"	"keratinocyte"	"monocyte"	0
