"Tongue"	"Lung"	"value"
"250"	"schwann.cell"	"macrophage"	0.016195856873823
"278"	"capillary.endothelial.cell"	"neutrophil"	0.0161707632600259
"323"	"tongue.muscle.cell"	"pericyte.cell"	0.0160919540229885
"5"	"epithelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.015990159901599
"120"	"vein.endothelial.cell"	"capillary.aerocyte"	0.015963511972634
"256"	"endothelial.cell.of.lymphatic.vessel"	"mesothelial.cell"	0.0159574468085106
"421"	"basal.cell"	"type.ii.pneumocyte"	0.0159151193633952
"137"	"epithelial.cell"	"classical.monocyte"	0.0155807365439093
"243"	"endothelial.cell.of.artery"	"macrophage"	0.0155642023346304
"220"	"endothelial.cell.of.lymphatic.vessel"	"lung.ciliated.cell"	0.015170151701517
"388"	"endothelial.cell.of.lymphatic.vessel"	"serous.cell.of.epithelium.of.bronchus"	0.0148837209302326
"270"	"fibroblast"	"myofibroblast.cell"	0.0148731408573928
"289"	"basal.cell"	"nk.cell"	0.0147308781869688
"387"	"endothelial.cell.of.artery"	"serous.cell.of.epithelium.of.bronchus"	0.0146945088940449
"214"	"schwann.cell"	"intermediate.monocyte"	0.0146782085058336
"349"	"basal.cell"	"pulmonary.ionocyte"	0.0146699266503667
"385"	"basal.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0146666666666667
"266"	"capillary.endothelial.cell"	"myofibroblast.cell"	0.0145246478873239
"338"	"capillary.endothelial.cell"	"plasmacytoid.dendritic.cell"	0.0145077720207254
"354"	"fibroblast"	"pulmonary.ionocyte"	0.0144362075692548
"227"	"tongue.muscle.cell"	"lung.ciliated.cell"	0.0144144144144144
"53"	"epithelial.cell"	"b.cell"	0.0143884892086331
"232"	"endothelial.cell.of.lymphatic.vessel"	"lung.microvascular.endothelial.cell"	0.0143014301430143
"142"	"schwann.cell"	"classical.monocyte"	0.0140470766894457
"299"	"tongue.muscle.cell"	"nk.cell"	0.0138963121325494
"292"	"endothelial.cell.of.lymphatic.vessel"	"nk.cell"	0.0138623326959847
"154"	"schwann.cell"	"club.cell"	0.0137578616352201
"147"	"endothelial.cell.of.artery"	"club.cell"	0.0136752136752137
"189"	"pericyte.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0136017410228509
"435"	"endothelial.cell.of.artery"	"vascular.associated.smooth.muscle.cell"	0.0134099616858238
"88"	"endothelial.cell.of.lymphatic.vessel"	"bronchial.smooth.muscle.cell"	0.013375295043273
"138"	"fibroblast"	"classical.monocyte"	0.013317191283293
"265"	"basal.cell"	"myofibroblast.cell"	0.0132966529115085
"208"	"endothelial.cell.of.lymphatic.vessel"	"intermediate.monocyte"	0.0131086142322097
"415"	"immune.cell"	"type.i.pneumocyte"	0.0130904951622083
"414"	"fibroblast"	"type.i.pneumocyte"	0.0130624092888244
"337"	"basal.cell"	"plasmacytoid.dendritic.cell"	0.0130505709624796
"357"	"pericyte.cell"	"pulmonary.ionocyte"	0.0129918337045286
"424"	"endothelial.cell.of.lymphatic.vessel"	"type.ii.pneumocyte"	0.0129390018484288
"350"	"capillary.endothelial.cell"	"pulmonary.ionocyte"	0.0129310344827586
"87"	"endothelial.cell.of.artery"	"bronchial.smooth.muscle.cell"	0.012751677852349
"426"	"fibroblast"	"type.ii.pneumocyte"	0.0127167630057803
"310"	"schwann.cell"	"non.classical.monocyte"	0.0126825518831668
"40"	"endothelial.cell.of.lymphatic.vessel"	"alveolar.fibroblast"	0.0126582278481013
"76"	"endothelial.cell.of.lymphatic.vessel"	"basophil"	0.0125725338491296
"443"	"tongue.muscle.cell"	"vascular.associated.smooth.muscle.cell"	0.0124113475177305
"285"	"pericyte.cell"	"neutrophil"	0.012396694214876
"271"	"immune.cell"	"myofibroblast.cell"	0.0123549232497192
"277"	"basal.cell"	"neutrophil"	0.0123456790123457
"314"	"capillary.endothelial.cell"	"pericyte.cell"	0.0123171670515781
"83"	"tongue.muscle.cell"	"basophil"	0.01230012300123
"150"	"fibroblast"	"club.cell"	0.0122282608695652
"129"	"pericyte.cell"	"capillary.endothelial.cell"	0.0121852152721365
"17"	"epithelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.0121580547112462
"389"	"epithelial.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0121293800539084
"331"	"immune.cell"	"plasma.cell"	0.012035010940919
"117"	"pericyte.cell"	"capillary.aerocyte"	0.0119808306709265
"395"	"tongue.muscle.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0116686114352392
"10"	"schwann.cell"	"cd8.positive..alpha.beta.t.cell"	0.0116448326055313
"434"	"capillary.endothelial.cell"	"vascular.associated.smooth.muscle.cell"	0.0116279069767442
"70"	"schwann.cell"	"basal.cell"	0.0115696104897802
"114"	"fibroblast"	"capillary.aerocyte"	0.0115555555555556
"345"	"pericyte.cell"	"plasmacytoid.dendritic.cell"	0.0115495668912416
"423"	"endothelial.cell.of.artery"	"type.ii.pneumocyte"	0.0115207373271889
"306"	"fibroblast"	"non.classical.monocyte"	0.0113636363636364
"375"	"endothelial.cell.of.artery"	"respiratory.mucous.cell"	0.0113550340651022
"288"	"vein.endothelial.cell"	"neutrophil"	0.0113293051359517
"74"	"capillary.endothelial.cell"	"basophil"	0.0112079701120797
"51"	"endothelial.cell.of.artery"	"b.cell"	0.0111821086261981
"133"	"basal.cell"	"classical.monocyte"	0.0111265646731572
