"Bone marrow"	"Skeletal muscle"	"value"
"223"	"nk.cell"	"pericyte.cell"	0.00892060660124889
"268"	"naive.b.cell"	"smooth.muscle.cell"	0.00876494023904383
"133"	"erythroid.progenitor"	"macrophage"	0.00870574579222287
"201"	"memory.b.cell"	"mesothelial.cell"	0.00867052023121387
"177"	"cd4.positive..alpha.beta.t.cell"	"mesenchymal.stem.cell"	0.00866551126516464
"180"	"erythrocyte"	"mesenchymal.stem.cell"	0.00860215053763441
"234"	"monocyte"	"skeletal.muscle.satellite.stem.cell"	0.00851788756388416
"187"	"myeloid.progenitor"	"mesenchymal.stem.cell"	0.00847457627118644
"222"	"neutrophil"	"pericyte.cell"	0.00845864661654135
"130"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.00842911877394636
"127"	"nk.cell"	"fast.muscle.cell"	0.00839328537170264
"298"	"monocyte"	"tendon.cell"	0.00838926174496644
"135"	"hematopoietic.stem.cell"	"macrophage"	0.0082815734989648
"101"	"erythroid.progenitor"	"erythrocyte"	0.0082256169212691
"165"	"erythroid.progenitor"	"mature.nk.t.cell"	0.00822078684674104
"283"	"myeloid.progenitor"	"t.cell"	0.00807754442649435
"43"	"myeloid.progenitor"	"cd8.positive..alpha.beta.t.cell"	0.00806451612903226
"266"	"monocyte"	"smooth.muscle.cell"	0.00792751981879955
"193"	"cd4.positive..alpha.beta.t.cell"	"mesothelial.cell"	0.00790513833992095
"210"	"cd8.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00783699059561128
"154"	"monocyte"	"mast.cell"	0.00780379041248606
"190"	"neutrophil"	"mesenchymal.stem.cell"	0.00768573868488471
"291"	"cd24.neutrophil"	"tendon.cell"	0.00760456273764259
"278"	"granulocyte"	"t.cell"	0.0075512405609493
"125"	"nampt.neutrophil"	"fast.muscle.cell"	0.0074487895716946
"224"	"plasma.cell"	"pericyte.cell"	0.00736648250460405
"256"	"plasma.cell"	"slow.muscle.cell"	0.00735294117647059
"239"	"nk.cell"	"skeletal.muscle.satellite.stem.cell"	0.00725806451612903
"160"	"plasma.cell"	"mast.cell"	0.00721649484536083
"124"	"naive.b.cell"	"fast.muscle.cell"	0.00718907260963336
"65"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00659630606860158
"81"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.vascular.tree"	0.00657894736842105
"66"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00648648648648649
