"Skeletal muscle"	"Lung"	"value"
"315"	"mature.nk.t.cell"	"fibroblast"	0.027992277992278
"321"	"smooth.muscle.cell"	"fibroblast"	0.0277874261896492
"647"	"capillary.endothelial.cell"	"type.i.pneumocyte"	0.0277777777777778
"651"	"endothelial.cell.of.lymphatic.vessel"	"type.i.pneumocyte"	0.0275352585627938
"302"	"smooth.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0272774060730829
"94"	"t.cell"	"b.cell"	0.0268817204301075
"309"	"endothelial.cell.of.lymphatic.vessel"	"fibroblast"	0.0264684554024656
"641"	"pericyte.cell"	"smooth.muscle.cell"	0.0264211369095276
"429"	"mature.nk.t.cell"	"myofibroblast.cell"	0.0262199563000728
"70"	"mesothelial.cell"	"alveolar.fibroblast"	0.0261976047904192
"298"	"mesothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0260743602124578
"243"	"skeletal.muscle.satellite.stem.cell"	"club.cell"	0.0260492040520984
"110"	"skeletal.muscle.satellite.stem.cell"	"basal.cell"	0.0258855585831063
"662"	"slow.muscle.cell"	"type.i.pneumocyte"	0.0258320914058619
"654"	"fast.muscle.cell"	"type.i.pneumocyte"	0.0257437070938215
"426"	"fast.muscle.cell"	"myofibroblast.cell"	0.0256700641751604
"556"	"endothelial.cell.of.lymphatic.vessel"	"pulmonary.ionocyte"	0.0255063765941485
"458"	"cd4.positive..alpha.beta.t.cell"	"nk.cell"	0.0255009107468124
"535"	"cd8.positive..alpha.beta.t.cell"	"plasmacytoid.dendritic.cell"	0.025428413488115
"271"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell.of.artery"	0.0253853127833182
"317"	"mesothelial.cell"	"fibroblast"	0.0252324037184595
"334"	"mature.nk.t.cell"	"intermediate.monocyte"	0.0248681235870384
"640"	"mesothelial.cell"	"smooth.muscle.cell"	0.0246775098149187
"436"	"t.cell"	"myofibroblast.cell"	0.0246758678377248
"499"	"endothelial.cell.of.lymphatic.vessel"	"pericyte.cell"	0.0244926522043387
"295"	"mast.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0244648318042813
"638"	"mature.nk.t.cell"	"smooth.muscle.cell"	0.024364406779661
"160"	"fast.muscle.cell"	"bronchial.vessel.endothelial.cell"	0.0243572395128552
"241"	"mesothelial.cell"	"club.cell"	0.024346257889991
"108"	"mesothelial.cell"	"basal.cell"	0.0243055555555556
"322"	"t.cell"	"fibroblast"	0.0242753623188406
"627"	"tendon.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0242718446601942
"53"	"skeletal.muscle.satellite.stem.cell"	"adventitial.cell"	0.0242290748898678
"433"	"skeletal.muscle.satellite.stem.cell"	"myofibroblast.cell"	0.0242152466367713
"495"	"capillary.endothelial.cell"	"pericyte.cell"	0.0239943542695836
"74"	"smooth.muscle.cell"	"alveolar.fibroblast"	0.0239076669414674
"437"	"tendon.cell"	"myofibroblast.cell"	0.0236607142857143
"289"	"endothelial.cell.of.artery"	"endothelial.cell.of.lymphatic.vessel"	0.0236305048335124
"359"	"smooth.muscle.cell"	"lung.ciliated.cell"	0.0235772357723577
"352"	"mast.cell"	"lung.ciliated.cell"	0.0234438156831043
"616"	"fast.muscle.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0234059725585149
"415"	"slow.muscle.cell"	"mesothelial.cell"	0.0230917254650417
"602"	"mesothelial.cell"	"respiratory.mucous.cell"	0.0230708035003978
"319"	"skeletal.muscle.satellite.stem.cell"	"fibroblast"	0.0230680507497117
"165"	"mesothelial.cell"	"bronchial.vessel.endothelial.cell"	0.0230664857530529
"293"	"fast.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0230436869899184
"440"	"cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.0229965156794425
"220"	"mature.nk.t.cell"	"classical.monocyte"	0.0229885057471264
"157"	"endothelial.cell.of.lymphatic.vessel"	"bronchial.vessel.endothelial.cell"	0.0228945216680294
"663"	"smooth.muscle.cell"	"type.i.pneumocyte"	0.0228254164096237
"312"	"fast.muscle.cell"	"fibroblast"	0.0228099173553719
"658"	"mesenchymal.stem.cell"	"type.i.pneumocyte"	0.021969696969697
"347"	"endothelial.cell.of.lymphatic.vessel"	"lung.ciliated.cell"	0.0218041898247114
"294"	"macrophage"	"endothelial.cell.of.lymphatic.vessel"	0.0217687074829932
"498"	"endothelial.cell.of.artery"	"pericyte.cell"	0.0217687074829932
"560"	"macrophage"	"pulmonary.ionocyte"	0.0216180805764821
"633"	"endothelial.cell.of.vascular.tree"	"smooth.muscle.cell"	0.0215982721382289
"152"	"tendon.cell"	"bronchial.smooth.muscle.cell"	0.0215897939156035
"513"	"tendon.cell"	"pericyte.cell"	0.0211598746081505
"296"	"mature.nk.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0210430009149131
"441"	"endothelial.cell.of.artery"	"neutrophil"	0.0209059233449477
"423"	"endothelial.cell.of.lymphatic.vessel"	"myofibroblast.cell"	0.0207986688851913
"258"	"mature.nk.t.cell"	"dendritic.cell"	0.0206677265500795
"414"	"skeletal.muscle.satellite.stem.cell"	"mesothelial.cell"	0.0206422018348624
"665"	"tendon.cell"	"type.i.pneumocyte"	0.0201192250372578
"673"	"fast.muscle.cell"	"type.ii.pneumocyte"	0.0200320512820513
"145"	"mesenchymal.stem.cell"	"bronchial.smooth.muscle.cell"	0.01998001998002
"305"	"capillary.endothelial.cell"	"fibroblast"	0.0199058993847267
"430"	"mesenchymal.stem.cell"	"myofibroblast.cell"	0.0197397936294302
"87"	"mature.nk.t.cell"	"b.cell"	0.0192604006163328
"549"	"smooth.muscle.cell"	"plasmacytoid.dendritic.cell"	0.0191518467852257
"304"	"tendon.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0191044776119403
"509"	"skeletal.muscle.satellite.stem.cell"	"pericyte.cell"	0.0188976377952756
"111"	"slow.muscle.cell"	"basal.cell"	0.0188679245283019
"443"	"endothelial.cell.of.vascular.tree"	"neutrophil"	0.0188311688311688
"114"	"tendon.cell"	"basal.cell"	0.018716577540107
"569"	"t.cell"	"pulmonary.ionocyte"	0.0186567164179104
"253"	"endothelial.cell.of.vascular.tree"	"dendritic.cell"	0.0185430463576159
"534"	"cd4.positive..alpha.beta.t.cell"	"plasmacytoid.dendritic.cell"	0.0185078079814922
"86"	"mast.cell"	"b.cell"	0.0185013876040703
"71"	"pericyte.cell"	"alveolar.fibroblast"	0.0184956843403206
"681"	"slow.muscle.cell"	"type.ii.pneumocyte"	0.018457481872116
"62"	"endothelial.cell.of.lymphatic.vessel"	"alveolar.fibroblast"	0.0182815356489945
"123"	"macrophage"	"basophil"	0.0181543116490166
"217"	"fast.muscle.cell"	"classical.monocyte"	0.0181518151815182
"146"	"mesothelial.cell"	"bronchial.smooth.muscle.cell"	0.0181437543614794
"418"	"tendon.cell"	"mesothelial.cell"	0.0181200453001133
"103"	"fast.muscle.cell"	"basal.cell"	0.0180257510729614
"303"	"t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0180229382850901
"621"	"mesothelial.cell"	"serous.cell.of.epithelium.of.bronchus"	0.017741935483871
"313"	"macrophage"	"fibroblast"	0.0177215189873418
"407"	"fast.muscle.cell"	"mesothelial.cell"	0.0176923076923077
"656"	"mast.cell"	"type.i.pneumocyte"	0.0176506390748631
"346"	"endothelial.cell.of.artery"	"lung.ciliated.cell"	0.0176026823134954
"89"	"mesothelial.cell"	"b.cell"	0.0175732217573222
"512"	"t.cell"	"pericyte.cell"	0.0174216027874564
"555"	"endothelial.cell.of.artery"	"pulmonary.ionocyte"	0.0172477064220183
"697"	"mesothelial.cell"	"vascular.associated.smooth.muscle.cell"	0.0172071475843812
"442"	"endothelial.cell.of.lymphatic.vessel"	"neutrophil"	0.0171496156120639
"670"	"endothelial.cell.of.lymphatic.vessel"	"type.ii.pneumocyte"	0.0171198388721047
"655"	"macrophage"	"type.i.pneumocyte"	0.0169941582580988
"450"	"mesothelial.cell"	"neutrophil"	0.0169753086419753
"510"	"slow.muscle.cell"	"pericyte.cell"	0.0167853509664293
"675"	"mast.cell"	"type.ii.pneumocyte"	0.0167696381288614
"265"	"t.cell"	"dendritic.cell"	0.0166481687014428
"657"	"mature.nk.t.cell"	"type.i.pneumocyte"	0.0166398282340311
"637"	"mast.cell"	"smooth.muscle.cell"	0.0166270783847981
"427"	"macrophage"	"myofibroblast.cell"	0.0164697457930541
"504"	"mast.cell"	"pericyte.cell"	0.0164556962025316
"453"	"slow.muscle.cell"	"neutrophil"	0.0162235241099594
"233"	"endothelial.cell.of.lymphatic.vessel"	"club.cell"	0.0161849710982659
"360"	"t.cell"	"lung.ciliated.cell"	0.0161839863713799
"674"	"macrophage"	"type.ii.pneumocyte"	0.0160233066278223
"188"	"smooth.muscle.cell"	"capillary.aerocyte"	0.0159651669085631
"507"	"mesothelial.cell"	"pericyte.cell"	0.0159386068476978
"566"	"skeletal.muscle.satellite.stem.cell"	"pulmonary.ionocyte"	0.0158478605388273
"624"	"slow.muscle.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0158311345646438
"570"	"tendon.cell"	"pulmonary.ionocyte"	0.0157915515199368
"55"	"smooth.muscle.cell"	"adventitial.cell"	0.0157154673283706
"699"	"skeletal.muscle.satellite.stem.cell"	"vascular.associated.smooth.muscle.cell"	0.0155535224153705
"212"	"cd8.positive..alpha.beta.t.cell"	"classical.monocyte"	0.0155367231638418
"219"	"mast.cell"	"classical.monocyte"	0.0155109489051095
"225"	"slow.muscle.cell"	"classical.monocyte"	0.0155091031692515
"232"	"endothelial.cell.of.artery"	"club.cell"	0.0155038759689922
"438"	"capillary.endothelial.cell"	"neutrophil"	0.0154669839381321
"381"	"capillary.endothelial.cell"	"macrophage"	0.0154639175257732
"112"	"smooth.muscle.cell"	"basal.cell"	0.0154589371980676
"299"	"pericyte.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0154241645244216
"664"	"t.cell"	"type.i.pneumocyte"	0.0153027278775782
"593"	"endothelial.cell.of.artery"	"respiratory.mucous.cell"	0.0152235965746908
"583"	"mesothelial.cell"	"respiratory.goblet.cell"	0.0151946818613485
"411"	"mesenchymal.stem.cell"	"mesothelial.cell"	0.0150115473441109
"61"	"endothelial.cell.of.artery"	"alveolar.fibroblast"	0.0149779735682819
"46"	"fast.muscle.cell"	"adventitial.cell"	0.0148920327624721
"183"	"mesenchymal.stem.cell"	"capillary.aerocyte"	0.0148837209302326
"43"	"endothelial.cell.of.lymphatic.vessel"	"adventitial.cell"	0.014760147601476
"652"	"endothelial.cell.of.vascular.tree"	"type.i.pneumocyte"	0.0147167034584253
"502"	"fast.muscle.cell"	"pericyte.cell"	0.0146886016451234
"536"	"endothelial.cell.of.artery"	"plasmacytoid.dendritic.cell"	0.0146641438032167
"357"	"skeletal.muscle.satellite.stem.cell"	"lung.ciliated.cell"	0.0146252285191956
"472"	"slow.muscle.cell"	"nk.cell"	0.0146071851559416
"396"	"slow.muscle.cell"	"macrophage"	0.014559894109861
"125"	"mature.nk.t.cell"	"basophil"	0.0145482388973966
"240"	"mesenchymal.stem.cell"	"club.cell"	0.0145348837209302
"533"	"capillary.endothelial.cell"	"plasmacytoid.dendritic.cell"	0.0145348837209302
"405"	"endothelial.cell.of.vascular.tree"	"mesothelial.cell"	0.0145089285714286
"297"	"mesenchymal.stem.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0144317498496693
"685"	"capillary.endothelial.cell"	"vascular.associated.smooth.muscle.cell"	0.0144115292233787
"353"	"mature.nk.t.cell"	"lung.ciliated.cell"	0.0143646408839779
"574"	"endothelial.cell.of.artery"	"respiratory.goblet.cell"	0.0143198090692124
"421"	"cd8.positive..alpha.beta.t.cell"	"myofibroblast.cell"	0.0142791340396131
"54"	"slow.muscle.cell"	"adventitial.cell"	0.0142679900744417
"333"	"mast.cell"	"intermediate.monocyte"	0.0142602495543672
"661"	"skeletal.muscle.satellite.stem.cell"	"type.i.pneumocyte"	0.0141685309470544
"547"	"skeletal.muscle.satellite.stem.cell"	"plasmacytoid.dendritic.cell"	0.0141361256544503
"184"	"mesothelial.cell"	"capillary.aerocyte"	0.0139257294429708
"639"	"mesenchymal.stem.cell"	"smooth.muscle.cell"	0.0138686131386861
"594"	"endothelial.cell.of.lymphatic.vessel"	"respiratory.mucous.cell"	0.0137931034482759
"503"	"macrophage"	"pericyte.cell"	0.0137061403508772
"107"	"mesenchymal.stem.cell"	"basal.cell"	0.0136612021857923
"227"	"t.cell"	"classical.monocyte"	0.0136268343815514
"366"	"endothelial.cell.of.lymphatic.vessel"	"lung.microvascular.endothelial.cell"	0.0133333333333333
"505"	"mature.nk.t.cell"	"pericyte.cell"	0.0133037694013304
"439"	"cd4.positive..alpha.beta.t.cell"	"neutrophil"	0.0132743362831858
"202"	"mesenchymal.stem.cell"	"capillary.endothelial.cell"	0.0132575757575758
"310"	"endothelial.cell.of.vascular.tree"	"fibroblast"	0.0132325141776938
