"Skeletal muscle"	"Lung"	"value"
"109"	"pericyte.cell"	"basal.cell"	0
"197"	"erythrocyte"	"capillary.endothelial.cell"	0
"213"	"endothelial.cell.of.artery"	"classical.monocyte"	0
"254"	"erythrocyte"	"dendritic.cell"	0
"269"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0
"327"	"endothelial.cell.of.artery"	"intermediate.monocyte"	0
"342"	"tendon.cell"	"intermediate.monocyte"	0
"364"	"cd8.positive..alpha.beta.t.cell"	"lung.microvascular.endothelial.cell"	0
"368"	"erythrocyte"	"lung.microvascular.endothelial.cell"	0
"517"	"endothelial.cell.of.artery"	"plasma.cell"	0
"519"	"endothelial.cell.of.vascular.tree"	"plasma.cell"	0
"528"	"skeletal.muscle.satellite.stem.cell"	"plasma.cell"	0
"572"	"cd4.positive..alpha.beta.t.cell"	"respiratory.goblet.cell"	0
"596"	"erythrocyte"	"respiratory.mucous.cell"	0
"667"	"cd4.positive..alpha.beta.t.cell"	"type.ii.pneumocyte"	0
"706"	"cd8.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0
"710"	"erythrocyte"	"vein.endothelial.cell"	0
