"Bone marrow"	"Trachea"	"value"
"71"	"hematopoietic.stem.cell"	"cd8.positive..alpha.beta.t.cell"	0.00212089077412513
"271"	"nk.cell"	"secretory.cell"	0.001998001998002
"17"	"cd4.positive..alpha.beta.t.cell"	"b.cell"	0.00177619893428064
"209"	"cd4.positive..alpha.beta.t.cell"	"mucus.secreting.cell"	0.00174825174825175
"217"	"memory.b.cell"	"mucus.secreting.cell"	0.00166944908180301
"240"	"plasma.cell"	"neutrophil"	0.00163934426229508
"74"	"monocyte"	"cd8.positive..alpha.beta.t.cell"	0.00158730158730159
"226"	"cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.00151975683890578
"230"	"granulocyte"	"neutrophil"	0.00151171579743008
"316"	"naive.b.cell"	"t.cell"	0.00145348837209302
"80"	"plasma.cell"	"cd8.positive..alpha.beta.t.cell"	0.00142247510668563
"56"	"macrophage"	"cd4.positive..alpha.beta.t.cell"	0.00140449438202247
"231"	"hematopoietic.stem.cell"	"neutrophil"	0.00136892539356605
"281"	"memory.b.cell"	"serous.cell.of.epithelium.of.trachea"	0.00135135135135135
"214"	"granulocyte"	"mucus.secreting.cell"	0.00133868808567604
"41"	"memory.b.cell"	"basal.cell"	0.00127713920817369
"289"	"cd4.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.00122399020807834
"216"	"macrophage"	"mucus.secreting.cell"	0.00121654501216545
"229"	"erythroid.progenitor"	"neutrophil"	0.00115074798619102
"317"	"nampt.neutrophil"	"t.cell"	0.0010989010989011
"318"	"neutrophil"	"t.cell"	0.00109769484083425
"269"	"nampt.neutrophil"	"secretory.cell"	0.00106044538706257
"253"	"nampt.neutrophil"	"plasma.cell"	0.00104275286757039
"225"	"cd4.positive..alpha.beta.t.cell"	"neutrophil"	0.000870322019147084
"235"	"myeloid.progenitor"	"neutrophil"	0.000610500610500611
"2"	"cd8.positive..alpha.beta.t.cell"	"goblet.cell"	0
"26"	"monocyte"	"b.cell"	0
"34"	"cd8.positive..alpha.beta.t.cell"	"basal.cell"	0
"64"	"plasma.cell"	"cd4.positive..alpha.beta.t.cell"	0
"248"	"macrophage"	"plasma.cell"	0
"250"	"monocyte"	"plasma.cell"	0
"265"	"memory.b.cell"	"secretory.cell"	0
"266"	"monocyte"	"secretory.cell"	0
"268"	"naive.b.cell"	"secretory.cell"	0
"307"	"cd24.neutrophil"	"t.cell"	0
"311"	"hematopoietic.stem.cell"	"t.cell"	0
"312"	"macrophage"	"t.cell"	0
"313"	"memory.b.cell"	"t.cell"	0
"320"	"plasma.cell"	"t.cell"	0
