"Tongue"	"Spleen"	"value"
"38"	"capillary.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00988793671720501
"203"	"tongue.muscle.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00988467874794069
"249"	"pericyte.cell"	"plasmacytoid.dendritic.cell"	0.00985221674876847
"273"	"pericyte.cell"	"regulatory.t.cell"	0.00980392156862745
"185"	"epithelial.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.0097799511002445
"95"	"tongue.muscle.cell"	"erythrocyte"	0.00970873786407767
"126"	"fibroblast"	"intermediate.monocyte"	0.00967117988394584
"220"	"endothelial.cell.of.lymphatic.vessel"	"nk.cell"	0.00967117988394584
"8"	"keratinocyte"	"cd1c.positive.myeloid.dendritic.cell"	0.00953678474114441
"252"	"vein.endothelial.cell"	"plasmacytoid.dendritic.cell"	0.00945626477541371
"59"	"tongue.muscle.cell"	"cd141.positive.myeloid.dendritic.cell"	0.00942126514131898
"148"	"endothelial.cell.of.lymphatic.vessel"	"mature.nk.t.cell"	0.00918484500574053
"280"	"endothelial.cell.of.lymphatic.vessel"	"type.i.nk.t.cell"	0.00917431192660551
"241"	"basal.cell"	"plasmacytoid.dendritic.cell"	0.00916496945010183
"72"	"vein.endothelial.cell"	"classical.monocyte"	0.00910746812386157
"92"	"keratinocyte"	"erythrocyte"	0.00910273081924577
"202"	"schwann.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00905722519555373
"114"	"fibroblast"	"innate.lymphoid.cell"	0.00903614457831325
"63"	"endothelial.cell.of.artery"	"classical.monocyte"	0.00893582453290008
"71"	"tongue.muscle.cell"	"classical.monocyte"	0.00886075949367089
"6"	"fibroblast"	"cd1c.positive.myeloid.dendritic.cell"	0.00881612090680101
"131"	"tongue.muscle.cell"	"intermediate.monocyte"	0.00872938894277401
"56"	"keratinocyte"	"cd141.positive.myeloid.dendritic.cell"	0.00872093023255814
"237"	"pericyte.cell"	"plasma.cell"	0.00843373493975904
"242"	"capillary.endothelial.cell"	"plasmacytoid.dendritic.cell"	0.00835654596100279
"235"	"immune.cell"	"plasma.cell"	0.00831024930747922
"91"	"immune.cell"	"erythrocyte"	0.00826446280991736
"103"	"immune.cell"	"hematopoietic.stem.cell"	0.00821114369501466
"60"	"vein.endothelial.cell"	"cd141.positive.myeloid.dendritic.cell"	0.00795228628230616
"224"	"keratinocyte"	"nk.cell"	0.0079155672823219
"173"	"epithelial.cell"	"naive.b.cell"	0.00791139240506329
"231"	"endothelial.cell.of.artery"	"plasma.cell"	0.00789473684210526
"49"	"basal.cell"	"cd141.positive.myeloid.dendritic.cell"	0.00782472613458529
"146"	"capillary.endothelial.cell"	"mature.nk.t.cell"	0.00782472613458529
"137"	"epithelial.cell"	"macrophage"	0.00778967867575463
"236"	"keratinocyte"	"plasma.cell"	0.00777604976671851
"129"	"pericyte.cell"	"intermediate.monocyte"	0.0077319587628866
"155"	"tongue.muscle.cell"	"mature.nk.t.cell"	0.00769230769230769
"195"	"endothelial.cell.of.artery"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00761904761904762
"132"	"vein.endothelial.cell"	"intermediate.monocyte"	0.00758533501896334
"116"	"keratinocyte"	"innate.lymphoid.cell"	0.00746268656716418
"266"	"capillary.endothelial.cell"	"regulatory.t.cell"	0.00740740740740741
"140"	"keratinocyte"	"macrophage"	0.00735970561177553
"1"	"basal.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.00728862973760933
"52"	"endothelial.cell.of.lymphatic.vessel"	"cd141.positive.myeloid.dendritic.cell"	0.00723888314374354
"196"	"endothelial.cell.of.lymphatic.vessel"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0072202166064982
